Class name	Fall	Spring	Summer
ANTH 007	0	0	0
ANTH 200	7	7	0
ANTH 201	3	5	7
ANTH 203	7	0	0
ANTH 205	7	1	0
ANTH 212	0	5	0
ANTH 290	0	1	0
ANTH 299	0	1	0
ANTH 300	7	0	0
ANTH 301	5	1	0
ANTH 302	2	4	1
ANTH 303	0	1	0
ANTH 305	0	4	0
ANTH 308	0	1	0
ANTH 309	0	0	0
ANTH 310	0	0	0
ANTH 311	1	0	0
ANTH 312	4	0	0
ANTH 313	4	1	0
ANTH 317	0	2	0
ANTH 319	1	0	0
ANTH 322	0	0	1
ANTH 323	0	5	0
ANTH 324	6	0	0
ANTH 325	0	0	0
ANTH 326	0	1	0
ANTH 327	0	0	0
ANTH 329	0	0	3
ANTH 330	1	0	0
ANTH 331	0	0	0
ANTH 332	0	2	0
ANTH 333	0	1	0
ANTH 334	1	1	0
ANTH 335	0	0	0
ANTH 336	0	1	0
ANTH 337	0	0	0
ANTH 338	0	0	1
ANTH 339	0	0	1
ANTH 340	2	0	0
ANTH 341	2	0	0
ANTH 342	2	0	1
ANTH 343	2	0	0
ANTH 344	1	0	0
ANTH 345	2	2	0
ANTH 346	0	1	0
ANTH 347	1	1	0
ANTH 348	2	0	0
ANTH 349	2	1	0
ANTH 351	0	0	0
ANTH 353	0	0	0
ANTH 354	1	1	1
ANTH 355	0	1	0
ANTH 358	0	1	0
ANTH 359	0	0	0
ANTH 360	0	0	0
ANTH 361	0	0	0
ANTH 362	0	6	0
ANTH 363	0	2	0
ANTH 364	0	0	3
ANTH 365	2	2	0
ANTH 366	1	2	0
ANTH 370	2	0	1
ANTH 371	0	1	0
ANTH 372	0	0	0
ANTH 374	0	1	0
ANTH 376	0	3	0
ANTH 378	0	1	0
ANTH 381	4	6	3
ANTH 382	0	0	0
ANTH 384	1	1	0
ANTH 385	1	1	0
ANTH 386	0	1	3
ANTH 387	1	3	0
ANTH 388	0	0	1
ANTH 389	2	0	0
ANTH 390	0	0	0
ANTH 391	0	1	0
ANTH 392	1	1	0
ANTH 395	1	0	0
ANTH 396	0	1	0
ANTH 397	1	1	0
ANTH 398	0	2	0
ANTH 400	0	4	0
ANTH 403	0	0	0
ANTH 404	7	7	0
ANTH 405	0	1	0
ANTH 406	0	0	0
ANTH 407	3	0	0
ANTH 408	0	4	0
ANTH 410	0	0	0
ANTH 411	2	0	0
ANTH 412	0	0	0
ANTH 413	0	1	0
ANTH 414	0	0	0
ANTH 417	1	0	0
ANTH 420	3	1	0
ANTH 422	0	1	0
ANTH 423	0	1	0
ANTH 424	1	0	0
ANTH 425	2	0	0
ANTH 429	0	0	0
ANTH 440	0	1	0
ANTH 441	0	1	0
ANTH 442	0	0	0
ANTH 443	2	1	0
ANTH 444	0	0	0
ANTH 445	0	1	0
ANTH 446	3	0	0
ANTH 447	0	0	0
ANTH 448	0	1	0
ANTH 449	0	1	0
ANTH 451	0	1	0
ANTH 453	0	0	0
ANTH 456	0	0	0
ANTH 458	0	4	0
ANTH 460	1	1	0
ANTH 463	0	0	0
ANTH 477	0	1	0
ANTH 483	0	0	0
ANTH 490	7	0	0
ANTH 491	0	7	0
ANTH 493	3	0	0
ANTH 494	0	3	0
ANTH 495	4	7	0
ANTH 500	3	0	0
ANTH 501	3	0	0
ANTH 505	0	2	0
ANTH 506	3	0	0
ANTH 507	0	4	0
ANTH 508	0	1	0
ANTH 509	0	0	0
ANTH 511	0	0	0
ANTH 512	4	0	0
ANTH 513	3	0	0
ANTH 517	0	2	0
ANTH 519	1	0	0
ANTH 522	0	0	0
ANTH 523	0	4	0
ANTH 525	0	0	0
ANTH 526	0	1	0
ANTH 527	0	0	0
ANTH 529	0	0	0
ANTH 532	0	2	0
ANTH 533	0	0	0
ANTH 535	0	0	0
ANTH 536	0	1	0
ANTH 538	0	0	0
ANTH 540	2	0	0
ANTH 541	1	0	0
ANTH 542	1	0	0
ANTH 544	0	0	0
ANTH 545	2	1	0
ANTH 547	1	1	0
ANTH 548	2	0	0
ANTH 549	2	1	0
ANTH 550	1	0	0
ANTH 551	0	0	0
ANTH 553	0	0	0
ANTH 554	0	1	0
ANTH 555	0	1	0
ANTH 558	0	0	0
ANTH 561	0	0	0
ANTH 562	0	6	0
ANTH 563	0	1	0
ANTH 564	0	0	2
ANTH 566	0	1	0
ANTH 570	0	0	0
ANTH 571	0	0	0
ANTH 572	0	0	0
ANTH 574	0	1	0
ANTH 578	0	1	0
ANTH 581	4	6	0
ANTH 582	1	0	0
ANTH 584	1	1	0
ANTH 585	1	1	0
ANTH 586	0	0	0
ANTH 588	0	0	0
ANTH 589	2	0	0
ANTH 590	0	0	0
ANTH 591	0	1	0
ANTH 595	0	0	0
ANTH 596	0	1	0
ANTH 597	1	1	0
ANTH 598	0	1	0
ANTH 600	7	7	0
ANTH 601	6	0	0
ANTH 602	0	7	0
ANTH 603	0	0	0
ANTH 606	0	0	0
ANTH 610	0	0	0
ANTH 612	0	0	0
ANTH 613	0	1	0
ANTH 614	0	0	0
ANTH 615	0	3	0
ANTH 616	1	2	0
ANTH 617	1	0	0
ANTH 620	3	1	0
ANTH 622	0	1	0
ANTH 623	0	0	0
ANTH 624	1	0	0
ANTH 625	0	0	0
ANTH 629	0	0	0
ANTH 642	0	0	0
ANTH 643	1	0	0
ANTH 644	0	0	0
ANTH 645	0	1	0
ANTH 646	3	0	0
ANTH 647	0	0	0
ANTH 648	0	2	0
ANTH 649	0	1	0
ANTH 650	4	5	0
ANTH 651	0	1	0
ANTH 652	0	0	0
ANTH 653	0	1	0
ANTH 656	0	0	0
ANTH 658	0	2	0
ANTH 660	0	1	0
ANTH 663	0	0	0
ANTH 677	0	1	0
ANTH 683	0	0	0
ANTH 800	7	7	7
