Class name	Fall	Spring	Summer
ARCH 007	0	0	0
ARCH 100	0	0	2
ARCH 101	7	0	0
ARCH 102	0	7	0
ARCH 105	4	0	0
ARCH 110	0	1	0
ARCH 201	7	0	0
ARCH 202	0	7	0
ARCH 207	7	0	0
ARCH 225	7	0	0
ARCH 235	0	0	0
ARCH 301	7	0	0
ARCH 302	0	7	0
ARCH 303	0	0	0
ARCH 305	0	7	0
ARCH 307	5	0	0
ARCH 309	0	7	0
ARCH 310	0	1	0
ARCH 311	7	0	0
ARCH 313	7	2	0
ARCH 314	7	0	0
ARCH 315	0	1	0
ARCH 316	0	7	0
ARCH 317	0	5	0
ARCH 318	0	1	0
ARCH 321	0	0	0
ARCH 322	0	5	0
ARCH 323	4	5	0
ARCH 326	0	1	0
ARCH 327	7	1	0
ARCH 329	2	0	0
ARCH 330	0	4	0
ARCH 331	1	2	0
ARCH 332	1	0	0
ARCH 333	0	0	0
ARCH 336	0	0	0
ARCH 337	0	0	0
ARCH 340	0	1	0
ARCH 344	2	1	0
ARCH 345	0	7	0
ARCH 346	7	0	0
ARCH 350	2	1	0
ARCH 352	0	7	0
ARCH 353	7	3	0
ARCH 358	0	1	0
ARCH 359	2	0	0
ARCH 362	0	0	0
ARCH 363	0	6	0
ARCH 366	2	0	0
ARCH 367	1	3	0
ARCH 370	0	2	0
ARCH 374	0	2	0
ARCH 375	1	0	0
ARCH 376	2	1	0
ARCH 377	1	0	0
ARCH 401	7	0	0
ARCH 402	0	7	0
ARCH 403	7	0	0
ARCH 412	6	5	0
ARCH 416	0	2	0
ARCH 418	0	0	0
ARCH 423	7	7	0
ARCH 431	5	0	0
ARCH 433	5	0	0
ARCH 435	0	0	0
ARCH 436	0	0	0
ARCH 437	0	0	0
ARCH 442	0	2	0
ARCH 450	2	1	0
ARCH 452	0	1	0
ARCH 455	6	1	0
ARCH 456	1	0	0
ARCH 461	7	7	0
ARCH 469	0	0	0
ARCH 480	1	4	0
ARCH 489	0	0	0
ARCH 491	4	0	0
ARCH 500	7	7	0
ARCH 501	7	0	0
ARCH 502	0	7	0
ARCH 503	7	0	0
ARCH 504	0	7	0
ARCH 507	7	0	0
ARCH 509	0	7	0
ARCH 514	7	0	0
ARCH 515	0	1	0
ARCH 516	0	7	0
ARCH 518	0	1	0
ARCH 520	0	0	0
ARCH 521	1	2	0
ARCH 522	1	0	0
ARCH 523	4	5	0
ARCH 525	7	0	0
ARCH 528	0	0	0
ARCH 529	2	0	0
ARCH 533	2	0	0
ARCH 535	0	0	0
ARCH 536	0	0	0
ARCH 537	0	0	0
ARCH 550	2	1	0
ARCH 600	7	0	0
ARCH 601	7	0	0
ARCH 602	0	7	0
ARCH 603	0	1	0
ARCH 605	0	7	0
ARCH 607	5	0	0
ARCH 610	7	7	0
ARCH 611	5	0	0
ARCH 612	4	5	0
ARCH 613	5	0	0
ARCH 615	4	0	0
ARCH 616	0	2	0
ARCH 617	0	4	0
ARCH 618	0	0	0
ARCH 620	7	7	0
ARCH 621	0	0	0
ARCH 622	0	4	0
ARCH 623	7	6	0
ARCH 626	0	1	0
ARCH 631	5	0	0
ARCH 633	5	0	0
ARCH 638	0	1	0
ARCH 642	0	2	0
ARCH 644	2	1	0
ARCH 645	0	7	0
ARCH 646	7	0	0
ARCH 650	0	1	0
ARCH 651	4	0	0
ARCH 652	0	7	0
ARCH 653	5	3	0
ARCH 654	2	0	0
ARCH 655	0	0	0
ARCH 656	1	0	0
ARCH 658	0	1	0
ARCH 662	0	0	0
ARCH 663	0	4	0
ARCH 666	0	0	0
ARCH 669	0	0	0
ARCH 670	0	2	0
ARCH 673	1	0	0
ARCH 674	0	2	0
ARCH 675	1	0	0
ARCH 676	2	1	0
ARCH 680	1	4	0
ARCH 688	0	1	0
ARCH 689	0	0	0
ARCH 690	7	7	0
ARCH 691	7	0	0
ARCH 693	1	1	0
ARCH 696	0	1	0
ARCH 700	7	0	2
ARCH 701	0	0	0
ARCH 702	0	7	0
ARCH 703	7	0	0
ARCH 711	7	7	6
ARCH 714	0	0	0
ARCH 729	4	0	0
ARCH 730	0	3	0
ARCH 738	0	0	0
ARCH 751	1	0	0
