Class name	Fall	Spring	Summer
ARTS 101	0	0	0
ARTS 103	1	0	0
ARTS 165	4	4	0
ARTS 200	0	0	0
ARTS 225	7	7	0
ARTS 230	5	2	0
ARTS 262	1	0	0
ARTS 263	0	1	0
ARTS 270	2	0	0
ARTS 280	7	0	0
ARTS 294	0	7	0
ARTS 300	1	1	0
ARTS 301	6	7	0
ARTS 310	0	0	0
ARTS 311	4	3	0
ARTS 312	0	0	0
ARTS 314	2	3	0
ARTS 315	1	2	0
ARTS 320	0	2	0
ARTS 322	1	0	0
ARTS 323	1	3	0
ARTS 325	4	5	0
ARTS 326	0	3	0
ARTS 327	7	0	0
ARTS 328	0	7	0
ARTS 329	0	0	0
ARTS 330	0	0	0
ARTS 331	0	0	0
ARTS 332	0	1	0
ARTS 349	1	1	0
ARTS 358	0	1	0
ARTS 366	1	3	0
ARTS 368	1	0	0
ARTS 370	1	0	0
ARTS 378	3	1	0
ARTS 383	0	1	0
ARTS 384	0	1	0
ARTS 388	7	4	0
ARTS 396	1	1	0
ARTS 398	0	0	0
ARTS 400	1	1	0
ARTS 401	0	1	0
ARTS 425	0	1	0
ARTS 427	0	0	0
ARTS 428	3	0	0
ARTS 430	0	0	0
ARTS 432	0	5	6
ARTS 435	0	2	0
ARTS 444	2	0	0
ARTS 447	0	0	0
ARTS 449	0	0	0
ARTS 450	1	0	0
ARTS 457	1	1	0
ARTS 460	0	7	0
ARTS 465	0	1	0
ARTS 475	1	0	0
ARTS 494	0	0	0
ARTS 499	7	7	0
