Class name	Fall	Spring	Summer
ASIA 211	4	0	0
ASIA 212	0	5	0
ASIA 218	1	5	0
ASIA 219	2	0	0
ASIA 221	2	0	0
ASIA 222	2	1	0
ASIA 227	1	0	0
ASIA 230	1	1	0
ASIA 231	2	0	0
ASIA 232	1	1	0
ASIA 238	1	0	0
ASIA 251	1	1	0
ASIA 295	1	0	0
ASIA 299	0	1	0
ASIA 303	1	0	0
ASIA 315	2	1	0
ASIA 316	0	1	0
ASIA 317	0	1	0
ASIA 318	1	0	0
ASIA 319	1	0	0
ASIA 320	0	2	0
ASIA 322	1	4	0
ASIA 323	0	1	0
ASIA 324	0	1	0
ASIA 325	0	1	0
ASIA 326	1	0	0
ASIA 327	0	1	0
ASIA 328	1	2	0
ASIA 330	1	3	0
ASIA 332	3	1	0
ASIA 334	3	2	0
ASIA 335	2	1	0
ASIA 338	0	2	0
ASIA 339	1	0	0
ASIA 345	0	2	0
ASIA 347	0	2	0
ASIA 349	0	3	0
ASIA 353	1	0	0
ASIA 355	1	1	0
ASIA 360	0	1	0
ASIA 371	1	5	0
ASIA 372	2	1	0
ASIA 376	1	1	0
ASIA 378	3	0	0
ASIA 380	0	0	0
ASIA 387	1	3	0
ASIA 388	0	2	0
ASIA 389	0	3	0
ASIA 390	0	2	0
ASIA 399	3	1	0
ASIA 401	6	0	0
ASIA 402	0	6	0
ASIA 422	1	2	0
ASIA 441	0	2	0
ASIA 488	0	3	0
ASIA 489	0	2	0
ASIA 490	0	0	0
ASIA 492	0	0	0
ASIA 494	0	2	0
ASIA 495	3	1	0
ASIA 501	0	0	0
ASIA 511	0	0	0
ASIA 521	0	0	0
ASIA 531	0	0	0
ASIA 532	0	0	0
ASIA 541	0	0	0
ASIA 551	0	0	0
ASIA 561	0	0	0
ASIA 695	0	0	0
