Class name	Fall	Spring	Summer
BIOC 007	0	2	3
BIOC 112	4	4	0
BIOC 115	7	7	0
BIOC 122	7	6	0
BIOC 129	1	1	0
BIOC 201	7	5	4
BIOC 205	0	1	0
BIOC 210	0	0	1
BIOC 211	7	7	5
BIOC 212	1	1	0
BIOC 215	7	7	0
BIOC 216	4	7	1
BIOC 220	0	1	0
BIOC 300	3	5	3
BIOC 301	7	4	0
BIOC 302	0	7	0
BIOC 310	7	7	6
BIOC 311	7	7	2
BIOC 313	7	0	0
BIOC 318	7	7	0
BIOC 320	0	7	6
BIOC 329	0	1	0
BIOC 331	5	0	0
BIOC 332	2	3	0
BIOC 333	1	0	0
BIOC 334	0	7	0
BIOC 335	0	5	0
BIOC 341	7	6	4
BIOC 344	6	7	0
BIOC 350	0	0	0
BIOC 352	5	3	0
BIOC 361	0	2	0
BIOC 368	0	4	0
BIOC 371	0	0	0
BIOC 372	6	5	0
BIOC 380	0	6	0
BIOC 385	7	0	0
BIOC 390	0	0	0
BIOC 393	0	0	0
BIOC 401	7	0	0
BIOC 402	0	7	0
BIOC 412	0	7	0
BIOC 413	0	7	0
BIOC 415	7	7	0
BIOC 417	1	0	0
BIOC 424	0	7	0
BIOC 425	6	0	0
BIOC 442	0	1	0
BIOC 443	0	6	0
BIOC 445	7	1	0
BIOC 447	0	6	0
BIOC 449	0	0	0
BIOC 450	1	4	0
BIOC 455	5	0	0
BIOC 460	2	7	0
BIOC 464	1	0	0
BIOC 470	2	0	0
BIOC 481	7	0	0
BIOC 482	0	5	0
BIOC 523	2	0	0
BIOC 524	0	6	0
BIOC 525	6	0	0
BIOC 530	0	7	0
BIOC 532	0	0	0
BIOC 533	0	0	0
BIOC 534	0	0	0
BIOC 535	0	7	0
BIOC 536	0	3	0
BIOC 537	5	2	0
BIOC 540	5	0	0
BIOC 544	0	6	0
BIOC 545	7	1	0
BIOC 547	0	6	0
BIOC 550	1	4	0
BIOC 551	7	0	0
BIOC 552	0	5	0
BIOC 555	5	0	0
BIOC 558	0	0	0
BIOC 560	1	7	0
BIOC 570	2	0	0
BIOC 571	1	5	0
BIOC 572	1	0	0
BIOC 573	6	4	0
BIOC 575	7	0	0
BIOC 578	0	0	0
BIOC 580	5	0	0
BIOC 581	7	0	0
BIOC 582	0	7	0
BIOC 583	7	0	0
BIOC 585	7	0	0
BIOC 587	0	2	6
BIOC 588	0	6	0
BIOC 589	5	0	0
BIOC 590	6	5	0
BIOC 592	7	7	0
BIOC 593	7	7	0
BIOC 599	7	7	0
BIOC 611	5	5	1
BIOC 643	0	0	0
BIOC 701	7	7	0
BIOC 702	7	7	0
BIOC 800	7	7	7
