Class name	Fall	Spring	Summer
BIOE 007	2	1	3
BIOE 202	0	4	0
BIOE 252	7	0	0
BIOE 302	0	0	0
BIOE 307	1	0	0
BIOE 320	0	7	0
BIOE 321	1	5	0
BIOE 322	2	7	0
BIOE 330	0	7	0
BIOE 332	0	7	0
BIOE 342	0	7	7
BIOE 348	0	1	0
BIOE 360	0	7	0
BIOE 361	0	2	0
BIOE 365	1	3	0
BIOE 370	7	0	0
BIOE 372	0	7	0
BIOE 380	1	0	0
BIOE 381	2	2	0
BIOE 383	7	0	0
BIOE 385	7	0	0
BIOE 391	0	7	0
BIOE 392	4	0	0
BIOE 400	7	7	0
BIOE 401	7	7	5
BIOE 403	0	0	0
BIOE 408	6	0	0
BIOE 419	0	1	0
BIOE 420	7	0	0
BIOE 421	4	0	0
BIOE 422	0	5	0
BIOE 431	4	0	0
BIOE 439	5	0	0
BIOE 440	7	7	0
BIOE 442	1	0	0
BIOE 443	7	0	0
BIOE 444	4	7	0
BIOE 445	2	0	0
BIOE 446	0	2	0
BIOE 447	7	5	0
BIOE 449	6	0	0
BIOE 451	7	0	0
BIOE 452	0	7	0
BIOE 454	7	0	0
BIOE 460	0	0	0
BIOE 464	1	0	0
BIOE 470	0	0	0
BIOE 481	2	0	0
BIOE 482	0	3	0
BIOE 484	0	7	0
BIOE 485	7	0	0
BIOE 486	0	5	0
BIOE 490	6	0	0
BIOE 492	0	6	0
BIOE 500	7	7	7
BIOE 502	6	0	0
BIOE 504	6	0	0
BIOE 506	7	7	7
BIOE 507	1	0	0
BIOE 508	6	0	0
BIOE 509	4	0	0
BIOE 510	6	3	0
BIOE 512	0	6	0
BIOE 514	0	2	0
BIOE 516	6	0	0
BIOE 517	6	0	0
BIOE 518	0	5	0
BIOE 519	0	5	0
BIOE 521	4	0	0
BIOE 522	0	5	0
BIOE 523	4	0	0
BIOE 524	2	0	0
BIOE 525	2	1	0
BIOE 526	2	0	0
BIOE 527	4	0	0
BIOE 528	4	0	0
BIOE 529	0	3	0
BIOE 530	0	3	0
BIOE 534	0	1	0
BIOE 535	1	0	0
BIOE 536	1	0	0
BIOE 539	3	0	0
BIOE 543	4	0	0
BIOE 548	6	0	0
BIOE 552	6	0	0
BIOE 553	2	0	0
BIOE 554	7	0	0
BIOE 560	0	6	0
BIOE 564	1	0	0
BIOE 574	3	0	0
BIOE 578	0	0	0
BIOE 580	5	0	0
BIOE 581	2	2	0
BIOE 582	0	1	0
BIOE 583	0	0	0
BIOE 586	0	0	0
BIOE 587	2	0	0
BIOE 589	5	0	0
BIOE 591	4	0	0
BIOE 592	0	6	0
BIOE 595	0	1	0
BIOE 596	0	2	0
BIOE 610	0	7	0
BIOE 615	1	1	0
BIOE 620	0	6	0
BIOE 621	0	2	0
BIOE 627	4	0	0
BIOE 628	1	2	0
BIOE 631	4	0	0
BIOE 633	0	7	0
BIOE 643	0	0	0
BIOE 654	0	3	0
BIOE 680	0	4	0
BIOE 682	0	4	0
BIOE 690	4	1	0
BIOE 698	7	0	0
BIOE 699	0	7	0
