Class name	Fall	Spring	Summer
BUSI 007	0	0	0
BUSI 220	0	2	0
BUSI 221	3	0	2
BUSI 223	3	0	0
BUSI 296	7	7	0
BUSI 305	7	7	5
BUSI 310	7	1	0
BUSI 343	6	5	3
BUSI 380	0	7	0
BUSI 390	1	4	0
BUSI 405	0	4	3
BUSI 430	0	0	0
BUSI 440	4	0	3
BUSI 460	0	1	0
BUSI 461	0	1	0
BUSI 463	0	2	0
BUSI 464	0	3	0
BUSI 469	0	2	2
BUSI 491	0	1	0
BUSI 499	0	2	0
BUSI 500	7	7	0
BUSI 501	0	7	0
BUSI 503	2	0	0
BUSI 504	0	1	0
BUSI 505	3	0	0
BUSI 506	1	2	0
BUSI 507	0	0	0
BUSI 510	0	5	0
BUSI 511	4	0	0
BUSI 515	1	1	0
BUSI 521	3	3	0
BUSI 522	4	3	0
BUSI 523	7	0	0
BUSI 524	1	2	0
BUSI 525	2	2	0
BUSI 526	0	3	0
BUSI 527	1	2	0
BUSI 530	5	1	0
BUSI 531	3	0	0
BUSI 532	0	7	0
BUSI 533	0	6	0
BUSI 540	6	0	0
BUSI 541	0	6	0
BUSI 542	1	2	0
BUSI 543	1	1	0
BUSI 544	1	2	0
BUSI 545	0	1	0
BUSI 546	1	0	0
BUSI 547	3	0	0
BUSI 548	1	1	0
BUSI 549	6	0	0
BUSI 550	1	2	0
BUSI 551	0	2	0
BUSI 800	7	2	7
BUSI 801	7	7	3
