Class name	Fall	Spring	Summer
CAAM 007	0	0	2
CAAM 210	7	7	0
CAAM 335	7	7	0
CAAM 336	7	7	0
CAAM 378	7	0	0
CAAM 415	6	0	0
CAAM 416	0	7	0
CAAM 423	7	0	0
CAAM 435	0	6	0
CAAM 436	0	1	0
CAAM 440	0	1	0
CAAM 453	7	0	0
CAAM 454	0	7	0
CAAM 471	0	7	0
CAAM 480	7	7	0
CAAM 490	7	0	0
CAAM 491	0	6	3
CAAM 495	7	0	0
CAAM 496	0	7	0
CAAM 498	0	2	0
CAAM 499	4	4	0
CAAM 501	7	0	0
CAAM 502	0	5	0
CAAM 508	3	0	0
CAAM 519	4	0	0
CAAM 520	0	5	0
CAAM 523	3	0	0
CAAM 536	0	3	0
CAAM 540	0	1	0
CAAM 550	3	0	0
CAAM 551	3	0	0
CAAM 552	1	1	0
CAAM 553	7	0	0
CAAM 554	0	7	0
CAAM 560	7	0	0
CAAM 564	0	2	0
CAAM 565	1	0	0
CAAM 567	0	1	0
CAAM 570	0	2	0
CAAM 571	0	7	0
CAAM 574	1	0	0
CAAM 581	7	0	0
CAAM 583	7	0	0
CAAM 585	0	0	0
CAAM 590	7	0	0
CAAM 591	0	7	7
CAAM 600	0	7	0
CAAM 615	4	0	0
CAAM 620	3	2	0
CAAM 640	0	1	0
CAAM 641	1	3	0
CAAM 642	0	1	0
CAAM 643	0	1	0
CAAM 651	1	0	0
CAAM 652	5	6	0
CAAM 654	3	3	0
CAAM 664	0	0	0
CAAM 698	0	2	0
CAAM 699	3	4	0
CAAM 800	7	7	7
