Class name	Fall	Spring	Summer
CEVE 007	2	0	2
CEVE 100	0	0	0
CEVE 101	6	0	0
CEVE 210	0	2	0
CEVE 211	7	7	0
CEVE 301	0	0	0
CEVE 302	7	0	0
CEVE 304	0	7	0
CEVE 307	0	7	0
CEVE 308	0	3	0
CEVE 310	7	0	0
CEVE 311	0	7	0
CEVE 312	0	7	0
CEVE 313	0	7	0
CEVE 314	1	3	0
CEVE 320	2	3	0
CEVE 322	0	3	0
CEVE 323	0	1	0
CEVE 363	7	0	0
CEVE 400	0	7	0
CEVE 401	6	0	0
CEVE 404	0	3	0
CEVE 405	0	7	0
CEVE 406	0	5	0
CEVE 407	7	0	0
CEVE 408	7	0	0
CEVE 411	6	1	0
CEVE 412	0	6	0
CEVE 417	0	6	0
CEVE 418	4	0	0
CEVE 420	5	0	0
CEVE 424	3	0	0
CEVE 427	3	0	0
CEVE 434	7	0	0
CEVE 442	0	1	0
CEVE 444	3	0	0
CEVE 450	0	0	0
CEVE 452	0	7	0
CEVE 453	0	0	0
CEVE 454	7	0	0
CEVE 460	2	0	0
CEVE 470	7	0	0
CEVE 476	3	0	0
CEVE 480	0	7	0
CEVE 481	7	0	0
CEVE 484	7	0	0
CEVE 492	3	0	0
CEVE 496	0	0	0
CEVE 499	7	7	3
CEVE 500	0	7	0
CEVE 501	6	0	0
CEVE 502	7	0	0
CEVE 503	4	0	0
CEVE 504	0	3	0
CEVE 507	0	3	0
CEVE 508	0	1	0
CEVE 509	0	4	0
CEVE 510	7	0	0
CEVE 511	7	0	0
CEVE 512	0	6	0
CEVE 518	1	7	0
CEVE 519	2	0	0
CEVE 520	5	0	0
CEVE 523	0	1	0
CEVE 524	3	0	0
CEVE 527	3	0	0
CEVE 528	0	3	0
CEVE 529	0	3	0
CEVE 530	4	0	0
CEVE 533	0	3	0
CEVE 534	7	0	0
CEVE 535	0	6	0
CEVE 536	0	7	0
CEVE 538	0	6	0
CEVE 540	0	4	0
CEVE 544	3	0	0
CEVE 550	1	5	0
CEVE 554	7	0	0
CEVE 555	0	3	0
CEVE 560	2	0	0
CEVE 565	0	2	0
CEVE 570	0	7	0
CEVE 576	3	0	0
CEVE 578	2	0	0
CEVE 590	6	5	1
CEVE 592	3	0	0
CEVE 596	0	0	0
CEVE 599	7	6	1
CEVE 601	7	0	0
CEVE 602	0	7	0
CEVE 603	0	1	0
CEVE 635	6	5	0
CEVE 636	0	0	0
CEVE 640	0	0	0
CEVE 641	0	2	0
CEVE 651	7	0	0
CEVE 652	0	7	7
CEVE 654	0	3	0
CEVE 678	3	0	0
CEVE 679	3	0	0
CEVE 684	7	0	0
CEVE 736	0	0	0
CEVE 800	7	1	5
CEVE 801	0	7	2
