Class name	Fall	Spring	Summer
CHBE 007	2	1	3
CHBE 100	0	3	0
CHBE 281	0	3	0
CHBE 301	7	0	0
CHBE 303	7	0	0
CHBE 305	0	7	0
CHBE 310	0	7	0
CHBE 343	1	7	0
CHBE 350	1	4	0
CHBE 382	0	1	0
CHBE 390	7	0	0
CHBE 401	7	0	0
CHBE 402	0	7	0
CHBE 403	7	0	0
CHBE 404	0	7	0
CHBE 411	7	0	0
CHBE 412	0	6	0
CHBE 416	0	1	0
CHBE 420	7	0	0
CHBE 443	7	1	0
CHBE 450	4	1	0
CHBE 455	0	3	0
CHBE 460	0	0	0
CHBE 465	0	3	0
CHBE 470	7	0	0
CHBE 490	3	2	0
CHBE 495	5	4	0
CHBE 499	6	5	4
CHBE 501	7	0	0
CHBE 503	4	0	0
CHBE 505	1	0	0
CHBE 516	0	1	0
CHBE 523	3	0	0
CHBE 550	4	1	0
CHBE 555	0	3	0
CHBE 557	1	0	0
CHBE 558	0	0	0
CHBE 560	0	4	0
CHBE 565	0	3	0
CHBE 570	3	0	0
CHBE 571	0	3	0
CHBE 580	5	0	0
CHBE 582	0	0	0
CHBE 590	6	2	0
CHBE 593	0	0	0
CHBE 594	0	3	0
CHBE 600	0	0	4
CHBE 602	0	7	0
CHBE 603	1	2	0
CHBE 605	7	7	0
CHBE 606	7	7	0
CHBE 609	0	1	0
CHBE 610	0	0	0
CHBE 611	3	3	0
CHBE 615	4	1	0
CHBE 618	1	0	0
CHBE 620	0	6	0
CHBE 630	0	0	0
CHBE 633	1	0	0
CHBE 634	1	0	0
CHBE 636	1	0	0
CHBE 640	5	0	0
CHBE 655	0	1	0
CHBE 661	7	0	0
CHBE 662	0	7	0
CHBE 671	1	4	0
CHBE 677	0	1	0
CHBE 682	0	4	0
CHBE 692	4	3	0
CHBE 695	4	4	0
CHBE 700	7	6	7
CHBE 720	0	0	0
CHBE 760	0	0	0
CHBE 800	7	7	7
CHBE 801	0	0	1
