Class name	Fall	Spring	Summer
CHEM 007	2	0	2
CHEM 101	0	0	3
CHEM 110	7	7	0
CHEM 121	7	0	2
CHEM 122	0	7	1
CHEM 123	7	0	2
CHEM 124	0	7	1
CHEM 151	7	0	0
CHEM 152	0	7	0
CHEM 153	7	0	0
CHEM 154	0	7	0
CHEM 176	0	6	0
CHEM 178	4	0	0
CHEM 201	0	0	0
CHEM 210	0	4	0
CHEM 211	7	7	7
CHEM 212	7	7	7
CHEM 213	4	3	3
CHEM 214	3	3	3
CHEM 215	7	7	0
CHEM 217	7	0	0
CHEM 220	7	6	0
CHEM 301	1	0	0
CHEM 302	0	0	0
CHEM 320	0	7	0
CHEM 330	3	5	0
CHEM 360	0	7	0
CHEM 362	0	2	0
CHEM 365	3	4	0
CHEM 366	5	0	0
CHEM 367	4	2	0
CHEM 368	0	4	0
CHEM 376	1	0	0
CHEM 391	5	4	1
CHEM 398	4	4	0
CHEM 401	7	0	0
CHEM 415	5	0	0
CHEM 420	0	7	0
CHEM 425	1	2	0
CHEM 430	7	0	0
CHEM 475	0	7	0
CHEM 491	7	7	6
CHEM 492	7	0	0
CHEM 493	0	6	0
CHEM 495	7	0	0
CHEM 501	4	0	0
CHEM 505	0	0	0
CHEM 511	0	3	0
CHEM 515	2	0	0
CHEM 520	0	3	0
CHEM 523	0	2	0
CHEM 525	6	0	0
CHEM 530	4	0	0
CHEM 531	0	6	0
CHEM 533	0	3	0
CHEM 541	0	3	0
CHEM 542	0	3	0
CHEM 545	2	0	0
CHEM 547	4	1	0
CHEM 548	3	0	0
CHEM 551	2	0	0
CHEM 552	2	0	0
CHEM 553	0	1	0
CHEM 557	6	0	0
CHEM 558	2	0	0
CHEM 559	0	4	0
CHEM 570	6	0	0
CHEM 571	0	6	0
CHEM 575	0	3	0
CHEM 580	0	2	0
CHEM 582	0	2	0
CHEM 586	2	0	0
CHEM 595	4	0	0
CHEM 600	7	7	0
CHEM 650	2	0	0
CHEM 656	0	3	0
CHEM 700	7	7	0
CHEM 800	7	7	7
