Class name	Fall	Spring	Summer
CLAS 101	0	0	0
CLAS 102	6	0	0
CLAS 103	0	1	0
CLAS 107	6	0	0
CLAS 108	0	6	0
CLAS 179	0	1	0
CLAS 201	7	0	0
CLAS 205	0	0	0
CLAS 207	0	1	0
CLAS 210	1	0	0
CLAS 218	0	1	0
CLAS 219	1	0	0
CLAS 225	0	0	0
CLAS 235	0	6	0
CLAS 236	0	0	0
CLAS 237	0	1	0
CLAS 238	1	0	0
CLAS 301	1	5	0
CLAS 309	0	1	0
CLAS 316	0	2	0
CLAS 317	1	0	0
CLAS 319	0	1	0
CLAS 321	0	0	0
CLAS 323	0	0	0
CLAS 324	0	1	0
CLAS 326	0	1	0
CLAS 336	1	2	0
CLAS 417	1	0	0
CLAS 477	0	1	0
CLAS 482	0	0	0
CLAS 491	4	0	0
CLAS 492	0	6	0
CLAS 493	7	0	0
CLAS 494	0	6	0
