Class name	Fall	Spring	Summer
COLL 108	3	3	0
COLL 116	1	6	0
COLL 117	1	2	0
COLL 125	3	3	0
COLL 126	2	1	0
COLL 127	2	1	0
COLL 128	2	3	0
COLL 129	2	3	0
COLL 130	2	0	0
COLL 131	2	1	0
COLL 133	4	3	0
COLL 134	1	2	0
COLL 135	1	2	0
COLL 137	2	5	0
COLL 138	1	3	0
COLL 139	0	3	0
COLL 140	0	3	0
COLL 141	0	3	0
COLL 142	0	3	0
COLL 143	0	3	0
COLL 144	0	3	0
COLL 145	0	3	0
COLL 146	0	3	0
COLL 147	0	3	0
COLL 148	0	3	0
COLL 149	1	3	0
COLL 150	1	2	0
COLL 151	1	3	0
COLL 152	0	2	0
COLL 153	0	2	0
COLL 154	3	2	0
COLL 155	0	3	0
COLL 156	2	5	0
COLL 157	1	4	0
COLL 158	1	4	0
COLL 159	0	3	0
COLL 160	0	4	0
COLL 161	0	3	0
COLL 162	0	3	0
COLL 163	0	3	0
COLL 164	0	3	0
COLL 165	1	6	0
COLL 166	1	2	0
COLL 167	1	2	0
COLL 168	2	1	0
COLL 169	2	1	0
COLL 170	2	2	0
COLL 171	2	1	0
COLL 172	3	1	0
COLL 173	3	0	0
COLL 174	2	0	0
COLL 175	4	1	0
COLL 179	2	1	0
COLL 187	1	2	0
COLL 189	1	3	0
COLL 193	1	2	0
COLL 198	2	2	0
COLL 199	0	7	0
COLL 200	7	7	0
COLL 201	6	0	0
COLL 202	6	6	0
COLL 203	0	4	0
COLL 205	2	3	0
COLL 212	1	0	0
COLL 217	0	3	0
COLL 218	0	1	0
COLL 299	3	3	0
COLL 300	6	6	0
