Class name	Fall	Spring	Summer
COMP 007	2	0	2
COMP 100	5	6	0
COMP 130	2	3	3
COMP 140	7	1	0
COMP 160	6	0	0
COMP 162	4	0	0
COMP 180	0	0	0
COMP 182	0	7	0
COMP 200	0	4	0
COMP 215	7	0	0
COMP 281	0	0	0
COMP 290	7	7	0
COMP 300	0	2	0
COMP 310	7	2	0
COMP 311	4	0	0
COMP 314	0	0	0
COMP 316	0	1	0
COMP 321	0	4	0
COMP 322	0	7	0
COMP 326	7	0	0
COMP 327	0	3	0
COMP 330	4	0	0
COMP 340	1	0	0
COMP 360	4	1	0
COMP 361	0	1	0
COMP 370	2	0	0
COMP 380	1	0	0
COMP 382	5	1	0
COMP 390	7	7	4
COMP 402	1	2	0
COMP 403	0	1	0
COMP 405	0	4	0
COMP 409	6	0	0
COMP 410	2	4	0
COMP 411	1	5	0
COMP 412	7	1	0
COMP 413	6	0	0
COMP 415	0	1	0
COMP 420	3	0	0
COMP 421	0	7	0
COMP 422	0	6	0
COMP 424	5	0	0
COMP 425	7	0	0
COMP 427	0	4	0
COMP 429	5	1	0
COMP 430	2	7	0
COMP 431	4	2	0
COMP 435	4	0	0
COMP 436	1	0	0
COMP 440	6	0	0
COMP 441	0	2	0
COMP 446	6	0	0
COMP 447	0	1	0
COMP 448	1	0	0
COMP 450	7	0	0
COMP 451	0	2	0
COMP 460	0	7	0
COMP 470	0	0	0
COMP 477	0	1	0
COMP 481	2	5	0
COMP 485	7	0	0
COMP 486	0	5	0
COMP 487	1	0	0
COMP 490	7	7	1
COMP 491	6	7	0
COMP 496	3	0	0
COMP 498	0	3	0
COMP 501	3	0	0
COMP 502	0	7	0
COMP 503	0	1	0
COMP 504	4	0	0
COMP 505	0	1	0
COMP 506	0	3	0
COMP 507	2	1	0
COMP 508	0	1	0
COMP 509	4	0	0
COMP 511	0	3	0
COMP 512	1	3	0
COMP 513	0	6	0
COMP 514	0	0	0
COMP 515	2	0	0
COMP 516	0	1	0
COMP 518	0	0	0
COMP 519	0	0	0
COMP 520	1	0	0
COMP 521	0	3	0
COMP 522	5	0	0
COMP 523	0	0	0
COMP 524	4	0	0
COMP 525	0	0	0
COMP 526	0	6	0
COMP 527	2	0	0
COMP 528	0	3	0
COMP 529	1	5	0
COMP 530	0	3	0
COMP 531	4	2	0
COMP 532	3	0	0
COMP 533	2	2	0
COMP 534	0	1	0
COMP 535	0	3	0
COMP 536	1	0	0
COMP 538	0	1	0
COMP 539	0	3	0
COMP 540	0	6	0
COMP 541	0	3	0
COMP 542	0	1	0
COMP 543	1	1	0
COMP 544	0	0	0
COMP 546	0	2	0
COMP 550	4	0	0
COMP 552	0	0	0
COMP 554	4	0	0
COMP 555	0	1	0
COMP 556	3	0	0
COMP 557	4	0	0
COMP 560	4	1	0
COMP 561	0	1	0
COMP 571	1	5	0
COMP 572	1	0	0
COMP 573	0	4	0
COMP 576	2	0	0
COMP 581	0	3	0
COMP 582	4	0	0
COMP 587	1	0	0
COMP 590	7	7	7
COMP 591	4	0	2
COMP 598	0	2	0
COMP 600	7	7	0
COMP 601	1	0	0
COMP 602	5	0	0
COMP 607	1	7	0
COMP 620	0	1	0
COMP 640	4	0	0
COMP 645	0	1	0
COMP 650	0	2	0
COMP 690	7	7	7
COMP 693	3	0	0
COMP 694	0	7	0
COMP 696	3	0	0
COMP 800	7	7	7
