Class name	Fall	Spring	Summer
EBIO 007	0	0	0
EBIO 113	0	0	0
EBIO 116	6	7	0
EBIO 124	3	2	0
EBIO 202	0	7	0
EBIO 204	7	7	0
EBIO 210	0	0	1
EBIO 213	7	7	0
EBIO 215	7	5	0
EBIO 216	7	0	0
EBIO 270	0	6	0
EBIO 280	2	0	0
EBIO 306	7	7	5
EBIO 316	2	7	0
EBIO 317	0	5	0
EBIO 319	0	0	7
EBIO 320	0	0	0
EBIO 321	0	6	0
EBIO 323	7	0	0
EBIO 324	2	2	0
EBIO 325	5	3	0
EBIO 326	6	0	0
EBIO 327	7	0	0
EBIO 328	0	6	0
EBIO 329	0	2	0
EBIO 330	7	0	0
EBIO 331	6	0	0
EBIO 332	0	0	0
EBIO 333	2	0	0
EBIO 334	0	7	0
EBIO 335	2	0	0
EBIO 336	0	1	0
EBIO 337	0	5	0
EBIO 338	4	0	0
EBIO 340	2	1	0
EBIO 365	0	0	0
EBIO 366	0	2	0
EBIO 367	0	0	0
EBIO 368	0	2	0
EBIO 372	0	5	0
EBIO 379	0	2	0
EBIO 391	0	0	0
EBIO 393	0	0	0
EBIO 403	7	0	0
EBIO 404	0	7	0
EBIO 412	7	0	0
EBIO 433	0	0	0
EBIO 520	7	3	0
EBIO 523	4	0	0
EBIO 524	2	0	0
EBIO 525	4	0	0
EBIO 529	0	1	0
EBIO 534	0	0	0
EBIO 540	0	0	0
EBIO 541	7	0	0
EBIO 542	0	7	0
EBIO 555	1	0	0
EBIO 560	0	2	0
EBIO 561	7	0	0
EBIO 562	0	7	0
EBIO 563	7	0	0
EBIO 566	0	1	0
EBIO 568	0	7	0
EBIO 569	6	0	0
EBIO 570	0	7	0
EBIO 572	0	2	0
EBIO 579	0	1	0
EBIO 580	4	0	0
EBIO 581	3	3	0
EBIO 585	7	0	0
EBIO 586	0	7	0
EBIO 591	7	7	0
EBIO 801	7	7	7
