Class name	Fall	Spring	Summer
ECON 007	0	0	0
ECON 100	4	3	3
ECON 101	0	0	0
ECON 103	0	0	0
ECON 111	0	0	0
ECON 113	0	0	0
ECON 200	4	3	0
ECON 203	4	3	0
ECON 209	4	3	0
ECON 210	4	3	0
ECON 239	6	7	0
ECON 260	3	2	0
ECON 265	2	2	0
ECON 270	0	0	0
ECON 275	0	0	0
ECON 299	1	1	0
ECON 300	3	3	0
ECON 305	3	3	0
ECON 307	7	7	6
ECON 308	4	3	0
ECON 310	4	3	0
ECON 343	2	2	0
ECON 355	4	3	0
ECON 365	0	3	0
ECON 399	7	7	0
ECON 415	2	0	0
ECON 418	1	3	0
ECON 419	0	0	0
ECON 420	0	1	0
ECON 421	3	0	0
ECON 422	4	3	0
ECON 432	0	3	0
ECON 435	1	5	0
ECON 437	7	0	0
ECON 439	2	4	0
ECON 441	0	2	0
ECON 443	0	2	0
ECON 445	4	4	0
ECON 449	2	2	0
ECON 450	5	3	0
ECON 452	1	3	0
ECON 455	4	1	0
ECON 460	1	1	0
ECON 462	3	2	0
ECON 470	3	0	0
ECON 479	1	3	0
ECON 480	3	1	0
ECON 481	7	0	0
ECON 483	7	0	0
ECON 484	0	7	0
ECON 489	0	0	0
ECON 496	2	0	0
ECON 497	0	3	0
ECON 498	4	0	0
ECON 499	0	3	0
ECON 501	7	0	0
ECON 502	7	0	0
ECON 504	5	1	0
ECON 505	0	7	0
ECON 507	3	0	0
ECON 508	0	7	0
ECON 509	4	0	0
ECON 510	5	3	0
ECON 511	2	4	0
ECON 512	0	0	0
ECON 514	4	3	0
ECON 515	1	4	0
ECON 516	3	0	0
ECON 517	0	4	0
ECON 518	0	0	0
ECON 519	1	0	0
ECON 522	1	0	0
ECON 523	0	3	0
ECON 547	0	7	0
ECON 565	1	0	0
ECON 575	0	2	0
ECON 576	0	0	0
ECON 577	1	1	0
ECON 578	2	0	0
ECON 579	4	6	0
ECON 592	0	2	0
ECON 593	7	0	0
ECON 594	0	7	0
ECON 596	0	0	0
ECON 597	7	0	0
ECON 598	5	7	0
ECON 601	4	0	0
ECON 602	4	0	0
ECON 603	4	0	0
ECON 604	0	3	0
ECON 605	0	3	0
ECON 606	2	1	1
ECON 607	0	0	0
ECON 608	0	3	0
ECON 610	0	3	0
ECON 611	0	0	3
ECON 612	0	0	2
ECON 613	0	0	0
ECON 614	0	0	3
ECON 615	0	0	1
ECON 620	0	0	0
ECON 621	0	0	2
ECON 622	0	1	0
ECON 699	0	0	3
ECON 800	7	7	7
