Class name	Fall	Spring	Summer
EDUC 007	0	0	0
EDUC 202	6	0	0
EDUC 301	3	2	0
EDUC 304	4	0	2
EDUC 305	3	6	4
EDUC 310	5	4	0
EDUC 315	2	2	0
EDUC 316	1	3	1
EDUC 319	5	1	0
EDUC 320	0	5	3
EDUC 323	0	0	5
EDUC 325	3	6	0
EDUC 330	6	1	0
EDUC 335	0	6	0
EDUC 345	3	3	1
EDUC 350	0	6	0
EDUC 421	6	0	0
EDUC 422	2	3	2
EDUC 460	6	0	0
EDUC 461	6	0	0
EDUC 462	6	0	0
EDUC 463	6	0	0
EDUC 464	6	0	0
EDUC 465	6	0	0
EDUC 466	6	0	0
EDUC 467	0	5	0
EDUC 470	2	4	0
EDUC 491	7	0	0
EDUC 501	3	2	0
EDUC 502	6	0	0
EDUC 504	4	0	2
EDUC 505	3	6	4
EDUC 510	5	4	0
EDUC 515	2	2	0
EDUC 516	1	3	1
EDUC 519	5	1	0
EDUC 520	0	5	3
EDUC 521	6	0	0
EDUC 522	2	3	2
EDUC 523	0	0	5
EDUC 525	3	6	0
EDUC 530	6	1	0
EDUC 535	0	5	0
EDUC 540	7	6	0
EDUC 545	3	3	1
EDUC 550	0	6	0
EDUC 560	6	0	0
EDUC 561	6	0	0
EDUC 562	6	0	0
EDUC 563	6	0	0
EDUC 564	6	0	0
EDUC 565	6	0	0
EDUC 566	6	0	0
EDUC 567	0	5	0
EDUC 570	2	4	0
EDUC 590	1	2	1
EDUC 591	7	3	0
EDUC 595	3	3	0
EDUC 596	0	0	1
EDUC 597	1	0	0
