Class name	Fall	Spring	Summer
ELEC 007	3	3	3
ELEC 101	0	1	0
ELEC 207	0	1	0
ELEC 220	0	7	0
ELEC 240	3	0	0
ELEC 241	7	0	0
ELEC 242	0	7	0
ELEC 243	0	7	0
ELEC 244	0	4	0
ELEC 261	7	0	2
ELEC 262	0	7	0
ELEC 281	0	0	0
ELEC 301	7	0	0
ELEC 302	0	6	0
ELEC 303	7	0	0
ELEC 305	0	7	0
ELEC 306	3	0	0
ELEC 322	0	0	0
ELEC 323	0	7	0
ELEC 326	7	0	0
ELEC 327	0	7	0
ELEC 332	0	7	0
ELEC 342	6	0	0
ELEC 361	0	5	0
ELEC 364	0	7	0
ELEC 365	0	2	0
ELEC 380	2	0	0
ELEC 381	2	2	0
ELEC 382	0	2	0
ELEC 395	7	0	0
ELEC 410	1	0	0
ELEC 419	0	3	0
ELEC 421	0	7	0
ELEC 422	0	3	0
ELEC 423	0	0	0
ELEC 424	5	0	0
ELEC 425	7	0	0
ELEC 427	3	0	0
ELEC 429	5	1	0
ELEC 430	0	7	0
ELEC 431	0	7	0
ELEC 432	1	0	0
ELEC 433	0	3	0
ELEC 435	6	0	0
ELEC 436	0	7	0
ELEC 437	4	0	0
ELEC 438	0	1	0
ELEC 440	6	0	0
ELEC 446	6	0	0
ELEC 447	0	1	0
ELEC 450	7	0	0
ELEC 460	1	0	0
ELEC 461	0	1	0
ELEC 462	5	1	0
ELEC 475	0	3	0
ELEC 478	1	0	0
ELEC 481	2	0	0
ELEC 482	0	3	0
ELEC 483	0	0	0
ELEC 485	7	0	0
ELEC 486	0	5	0
ELEC 488	4	0	0
ELEC 489	0	5	0
ELEC 490	7	7	5
ELEC 491	4	3	1
ELEC 492	2	0	3
ELEC 494	7	7	0
ELEC 495	7	0	0
ELEC 497	5	2	0
ELEC 498	0	3	0
ELEC 501	3	3	0
ELEC 502	0	7	0
ELEC 507	2	0	0
ELEC 508	3	0	0
ELEC 510	1	0	0
ELEC 511	0	1	0
ELEC 512	4	0	0
ELEC 513	0	6	0
ELEC 514	0	0	0
ELEC 516	0	4	0
ELEC 517	0	1	0
ELEC 518	0	0	0
ELEC 519	0	0	0
ELEC 520	1	0	0
ELEC 521	2	0	0
ELEC 522	7	0	0
ELEC 523	0	0	0
ELEC 524	4	0	0
ELEC 525	0	0	0
ELEC 526	0	6	0
ELEC 527	0	3	0
ELEC 528	0	1	0
ELEC 529	1	5	0
ELEC 530	0	1	0
ELEC 531	0	6	0
ELEC 532	3	0	0
ELEC 533	7	0	0
ELEC 534	1	0	0
ELEC 535	3	0	0
ELEC 536	0	1	0
ELEC 537	3	1	0
ELEC 538	0	1	0
ELEC 539	2	0	0
ELEC 540	1	0	0
ELEC 541	2	0	0
ELEC 542	0	2	0
ELEC 543	0	2	0
ELEC 544	0	7	0
ELEC 545	0	0	0
ELEC 546	0	2	0
ELEC 547	1	0	0
ELEC 548	6	0	0
ELEC 549	4	0	0
ELEC 550	4	0	0
ELEC 551	0	3	0
ELEC 552	0	3	0
ELEC 553	3	0	0
ELEC 554	4	0	0
ELEC 555	1	0	0
ELEC 556	3	0	0
ELEC 557	4	0	0
ELEC 558	0	3	0
ELEC 559	0	1	0
ELEC 560	1	0	0
ELEC 561	1	0	0
ELEC 562	2	1	0
ELEC 563	7	0	0
ELEC 564	0	4	0
ELEC 565	0	2	0
ELEC 566	3	0	0
ELEC 567	2	0	0
ELEC 568	6	0	0
ELEC 569	0	3	0
ELEC 571	5	0	0
ELEC 572	1	0	0
ELEC 575	0	3	0
ELEC 576	2	0	0
ELEC 577	1	0	0
ELEC 578	1	0	0
ELEC 581	2	2	0
ELEC 582	0	1	0
ELEC 583	0	0	0
ELEC 585	4	0	0
ELEC 586	0	2	0
ELEC 588	3	0	0
ELEC 589	0	3	0
ELEC 590	7	7	7
ELEC 591	4	3	1
ELEC 598	0	2	0
ELEC 599	7	7	2
ELEC 602	5	0	0
ELEC 603	7	6	0
ELEC 604	1	0	0
ELEC 605	7	0	0
ELEC 631	0	6	0
ELEC 632	0	0	0
ELEC 635	0	0	0
ELEC 638	0	0	0
ELEC 677	1	1	0
ELEC 680	0	4	0
ELEC 681	1	3	0
ELEC 691	1	0	0
ELEC 692	0	1	0
ELEC 693	3	0	0
ELEC 694	0	7	0
ELEC 695	0	2	0
ELEC 698	5	5	0
ELEC 699	7	6	0
ELEC 800	7	7	7
