Class name	Fall	Spring	Summer
ENGI 007	0	0	3
ENGI 100	4	1	0
ENGI 120	7	7	0
ENGI 128	3	0	0
ENGI 140	6	5	0
ENGI 150	1	0	0
ENGI 200	5	5	0
ENGI 210	5	4	0
ENGI 218	6	0	0
ENGI 219	0	5	0
ENGI 220	0	4	0
ENGI 221	2	0	1
ENGI 241	5	0	0
ENGI 242	3	3	0
ENGI 300	6	6	0
ENGI 301	1	1	0
ENGI 302	7	0	0
ENGI 303	0	3	0
ENGI 311	0	0	0
ENGI 315	7	7	0
ENGI 317	5	4	0
ENGI 318	6	0	0
ENGI 319	0	5	0
ENGI 320	2	3	0
ENGI 330	7	3	0
ENGI 350	1	1	0
ENGI 355	1	0	0
ENGI 428	1	1	0
ENGI 510	1	7	0
ENGI 511	0	0	0
ENGI 515	4	4	0
ENGI 528	0	3	0
ENGI 529	0	3	0
ENGI 530	7	1	0
ENGI 542	1	1	0
ENGI 545	0	7	0
ENGI 600	7	7	0
ENGI 601	1	0	0
ENGI 610	5	4	0
ENGI 614	4	1	0
ENGI 615	4	4	0
ENGI 779	0	1	0
