Class name	Fall	Spring	Summer
ENGL 007	0	0	0
ENGL 100	1	1	0
ENGL 121	0	0	0
ENGL 122	0	0	0
ENGL 175	5	6	0
ENGL 200	7	7	0
ENGL 201	5	2	1
ENGL 202	0	0	0
ENGL 203	1	1	0
ENGL 204	1	2	0
ENGL 210	7	1	0
ENGL 211	2	1	0
ENGL 212	0	0	0
ENGL 222	2	1	0
ENGL 245	1	2	0
ENGL 250	3	5	0
ENGL 251	1	0	0
ENGL 255	0	2	0
ENGL 260	6	4	0
ENGL 265	0	0	0
ENGL 267	0	0	0
ENGL 268	0	2	0
ENGL 269	1	0	0
ENGL 270	5	2	2
ENGL 272	3	2	5
ENGL 273	5	0	0
ENGL 274	0	1	0
ENGL 275	0	0	0
ENGL 277	0	1	0
ENGL 278	0	1	0
ENGL 286	0	0	0
ENGL 290	1	1	0
ENGL 299	2	2	0
ENGL 300	7	7	0
ENGL 301	7	7	1
ENGL 302	0	5	0
ENGL 303	1	1	0
ENGL 304	6	5	0
ENGL 305	4	3	1
ENGL 306	4	2	0
ENGL 307	1	1	0
ENGL 309	2	2	0
ENGL 311	0	1	0
ENGL 312	2	1	0
ENGL 313	0	1	0
ENGL 314	1	1	0
ENGL 315	0	0	0
ENGL 316	2	1	0
ENGL 317	1	2	0
ENGL 319	0	0	0
ENGL 320	1	5	3
ENGL 321	3	4	0
ENGL 322	3	2	0
ENGL 323	1	4	0
ENGL 325	1	1	0
ENGL 326	1	1	0
ENGL 328	3	1	0
ENGL 330	0	1	0
ENGL 331	0	0	0
ENGL 332	1	0	0
ENGL 333	2	1	0
ENGL 336	0	1	0
ENGL 338	2	2	0
ENGL 339	0	1	0
ENGL 341	4	2	0
ENGL 342	1	3	0
ENGL 343	1	3	0
ENGL 346	3	2	0
ENGL 350	2	0	0
ENGL 353	3	0	0
ENGL 354	3	2	0
ENGL 355	2	2	0
ENGL 356	0	1	0
ENGL 357	0	7	0
ENGL 358	1	0	0
ENGL 359	0	2	0
ENGL 360	6	2	0
ENGL 361	1	7	0
ENGL 362	3	1	0
ENGL 363	1	3	0
ENGL 364	2	3	0
ENGL 365	2	1	0
ENGL 366	7	3	0
ENGL 367	0	0	0
ENGL 368	3	2	1
ENGL 369	0	3	0
ENGL 370	0	0	0
ENGL 371	1	4	0
ENGL 372	0	0	0
ENGL 373	2	0	0
ENGL 374	1	2	0
ENGL 375	0	7	0
ENGL 377	6	0	0
ENGL 378	0	0	0
ENGL 379	0	1	0
ENGL 380	1	0	0
ENGL 381	6	4	0
ENGL 382	2	1	0
ENGL 383	0	1	0
ENGL 384	0	2	0
ENGL 385	1	1	0
ENGL 386	0	4	0
ENGL 387	1	1	0
ENGL 388	0	1	0
ENGL 389	1	2	0
ENGL 390	1	0	1
ENGL 392	2	1	0
ENGL 393	0	1	0
ENGL 396	0	1	0
ENGL 397	6	4	0
ENGL 398	1	1	0
ENGL 399	1	0	0
ENGL 401	1	7	0
ENGL 402	0	0	0
ENGL 404	1	5	0
ENGL 405	0	1	0
ENGL 412	1	0	0
ENGL 413	0	1	0
ENGL 418	0	2	0
ENGL 419	2	1	0
ENGL 422	0	0	0
ENGL 424	0	0	0
ENGL 430	1	1	0
ENGL 438	0	1	0
ENGL 441	1	1	0
ENGL 459	1	1	0
ENGL 460	0	0	0
ENGL 461	2	0	0
ENGL 462	0	0	0
ENGL 466	4	3	0
ENGL 470	0	0	0
ENGL 471	3	1	0
ENGL 480	0	0	0
ENGL 481	0	0	0
ENGL 484	0	2	0
ENGL 485	0	1	0
ENGL 486	0	0	0
ENGL 489	0	0	0
ENGL 493	7	7	0
ENGL 494	6	2	0
ENGL 495	5	7	0
ENGL 497	0	2	0
ENGL 509	0	0	0
ENGL 510	1	7	0
ENGL 512	1	0	0
ENGL 513	1	0	0
ENGL 514	0	0	0
ENGL 516	0	0	0
ENGL 517	0	0	0
ENGL 520	0	0	0
ENGL 521	0	1	0
ENGL 522	1	1	0
ENGL 525	1	0	0
ENGL 527	3	0	0
ENGL 528	0	0	0
ENGL 532	2	4	0
ENGL 537	1	1	0
ENGL 538	2	1	0
ENGL 541	2	3	0
ENGL 542	0	0	0
ENGL 546	0	1	0
ENGL 560	0	5	0
ENGL 564	0	0	0
ENGL 569	1	0	0
ENGL 570	1	2	0
ENGL 572	0	0	0
ENGL 577	1	0	0
ENGL 581	1	0	0
ENGL 582	0	0	0
ENGL 583	0	1	0
ENGL 584	0	0	0
ENGL 585	0	0	0
ENGL 589	0	0	0
ENGL 591	0	2	1
ENGL 592	0	2	0
ENGL 594	1	2	0
ENGL 596	-1	-1	-1
ENGL 599	-1	-1	-1
ENGL 600	-1	-1	-1
ENGL 601	-1	-1	-1
ENGL 602	-1	-1	-1
ENGL 603	-1	-1	-1
ENGL 604	-1	-1	-1
ENGL 605	-1	-1	-1
ENGL 610	-1	-1	-1
ENGL 621	-1	-1	-1
ENGL 622	-1	-1	-1
ENGL 703	-1	-1	-1
ENGL 704	-1	-1	-1
ENGL 705	-1	-1	-1
ENGL 800	-1	-1	-1
