Class name	Fall	Spring	Summer
ENST 007	0	0	0
ENST 100	4	0	0
ENST 101	1	5	0
ENST 102	0	1	0
ENST 113	0	0	0
ENST 114	0	1	0
ENST 117	2	1	0
ENST 201	2	0	0
ENST 202	0	4	0
ENST 204	7	7	0
ENST 265	1	0	0
ENST 281	0	3	0
ENST 302	7	0	0
ENST 307	0	7	0
ENST 313	7	2	0
ENST 315	0	1	0
ENST 316	0	0	0
ENST 321	0	0	0
ENST 322	0	5	0
ENST 323	7	0	0
ENST 331	0	0	0
ENST 332	0	2	0
ENST 340	2	1	0
ENST 350	7	0	0
ENST 367	0	1	0
ENST 368	3	2	1
ENST 379	0	2	0
ENST 391	0	1	0
ENST 400	7	0	0
ENST 406	0	5	0
ENST 415	0	0	0
ENST 425	1	2	0
ENST 437	7	0	0
ENST 441	1	1	0
ENST 445	0	0	1
ENST 446	0	0	1
ENST 477	0	1	0
ENST 480	3	1	0
ENST 513	0	0	0
ENST 613	4	0	0
ENST 621	0	0	0
ENST 622	0	4	0
ENST 646	2	0	0
