Class name	Fall	Spring	Summer
ESCI 007	-1	-1	-1
ESCI 101	-1	-1	-1
ESCI 102	-1	-1	-1
ESCI 103	-1	-1	-1
ESCI 106	-1	-1	-1
ESCI 107	-1	-1	-1
ESCI 108	-1	-1	-1
ESCI 109	-1	-1	-1
ESCI 110	-1	-1	-1
ESCI 113	-1	-1	-1
ESCI 114	-1	-1	-1
ESCI 115	-1	-1	-1
ESCI 201	-1	-1	-1
ESCI 214	-1	-1	-1
ESCI 307	-1	-1	-1
ESCI 321	-1	-1	-1
ESCI 322	-1	-1	-1
ESCI 323	-1	-1	-1
ESCI 324	-1	-1	-1
ESCI 330	-1	-1	-1
ESCI 334	-1	-1	-1
ESCI 340	-1	-1	-1
ESCI 380	-1	-1	-1
ESCI 390	-1	-1	-1
ESCI 391	-1	-1	-1
ESCI 401	-1	-1	-1
ESCI 403	-1	-1	-1
ESCI 404	-1	-1	-1
ESCI 405	-1	-1	-1
ESCI 406	-1	-1	-1
ESCI 407	-1	-1	-1
ESCI 409	-1	-1	-1
ESCI 410	-1	-1	-1
ESCI 411	-1	-1	-1
ESCI 412	-1	-1	-1
ESCI 415	-1	-1	-1
ESCI 416	-1	-1	-1
ESCI 417	-1	-1	-1
ESCI 418	-1	-1	-1
ESCI 419	-1	-1	-1
ESCI 421	-1	-1	-1
ESCI 422	-1	-1	-1
ESCI 423	-1	-1	-1
ESCI 425	-1	-1	-1
ESCI 426	-1	-1	-1
ESCI 427	-1	-1	-1
ESCI 429	-1	-1	-1
ESCI 430	-1	-1	-1
ESCI 431	-1	-1	-1
ESCI 435	-1	-1	-1
ESCI 436	-1	-1	-1
ESCI 440	-1	-1	-1
ESCI 441	-1	-1	-1
ESCI 442	-1	-1	-1
ESCI 444	-1	-1	-1
ESCI 450	-1	-1	-1
ESCI 452	-1	-1	-1
ESCI 454	-1	-1	-1
ESCI 456	-1	-1	-1
ESCI 460	-1	-1	-1
ESCI 461	-1	-1	-1
ESCI 462	-1	-1	-1
ESCI 463	-1	-1	-1
ESCI 464	-1	-1	-1
ESCI 467	-1	-1	-1
ESCI 471	-1	-1	-1
ESCI 472	-1	-1	-1
ESCI 481	-1	-1	-1
ESCI 491	-1	-1	-1
ESCI 499	-1	-1	-1
ESCI 501	-1	-1	-1
ESCI 502	-1	-1	-1
ESCI 503	-1	-1	-1
ESCI 504	-1	-1	-1
ESCI 506	-1	-1	-1
ESCI 507	-1	-1	-1
ESCI 508	-1	-1	-1
ESCI 509	-1	-1	-1
ESCI 511	-1	-1	-1
ESCI 512	-1	-1	-1
ESCI 514	-1	-1	-1
ESCI 515	-1	-1	-1
ESCI 516	-1	-1	-1
ESCI 519	-1	-1	-1
ESCI 520	-1	-1	-1
ESCI 521	-1	-1	-1
ESCI 522	-1	-1	-1
ESCI 523	-1	-1	-1
ESCI 524	-1	-1	-1
ESCI 526	-1	-1	-1
ESCI 527	-1	-1	-1
ESCI 528	-1	-1	-1
ESCI 529	-1	-1	-1
ESCI 530	-1	-1	-1
ESCI 531	-1	-1	-1
ESCI 532	-1	-1	-1
ESCI 534	-1	-1	-1
ESCI 536	-1	-1	-1
ESCI 537	-1	-1	-1
ESCI 538	-1	-1	-1
ESCI 539	-1	-1	-1
ESCI 540	-1	-1	-1
ESCI 541	-1	-1	-1
ESCI 542	-1	-1	-1
ESCI 543	-1	-1	-1
ESCI 544	-1	-1	-1
ESCI 545	-1	-1	-1
ESCI 546	-1	-1	-1
ESCI 547	-1	-1	-1
ESCI 548	-1	-1	-1
ESCI 549	-1	-1	-1
ESCI 550	-1	-1	-1
ESCI 552	-1	-1	-1
ESCI 555	-1	-1	-1
ESCI 557	-1	-1	-1
ESCI 558	-1	-1	-1
ESCI 559	-1	-1	-1
ESCI 562	-1	-1	-1
ESCI 564	-1	-1	-1
ESCI 565	-1	-1	-1
ESCI 566	-1	-1	-1
ESCI 567	-1	-1	-1
ESCI 580	-1	-1	-1
ESCI 581	-1	-1	-1
ESCI 590	-1	-1	-1
ESCI 603	-1	-1	-1
ESCI 604	-1	-1	-1
ESCI 605	-1	-1	-1
ESCI 606	-1	-1	-1
ESCI 607	-1	-1	-1
ESCI 609	-1	-1	-1
ESCI 610	-1	-1	-1
ESCI 611	-1	-1	-1
ESCI 612	-1	-1	-1
ESCI 615	-1	-1	-1
ESCI 616	-1	-1	-1
ESCI 617	-1	-1	-1
ESCI 618	-1	-1	-1
ESCI 619	-1	-1	-1
ESCI 621	-1	-1	-1
ESCI 622	-1	-1	-1
ESCI 623	-1	-1	-1
ESCI 625	-1	-1	-1
ESCI 626	-1	-1	-1
ESCI 627	-1	-1	-1
ESCI 629	-1	-1	-1
ESCI 630	-1	-1	-1
ESCI 631	-1	-1	-1
ESCI 635	-1	-1	-1
ESCI 636	-1	-1	-1
ESCI 640	-1	-1	-1
ESCI 641	-1	-1	-1
ESCI 642	-1	-1	-1
ESCI 643	-1	-1	-1
ESCI 650	-1	-1	-1
ESCI 652	-1	-1	-1
ESCI 654	-1	-1	-1
ESCI 656	-1	-1	-1
ESCI 660	-1	-1	-1
ESCI 661	-1	-1	-1
ESCI 662	-1	-1	-1
ESCI 663	-1	-1	-1
ESCI 664	-1	-1	-1
ESCI 667	-1	-1	-1
ESCI 671	-1	-1	-1
ESCI 672	-1	-1	-1
ESCI 699	-1	-1	-1
ESCI 800	-1	-1	-1
