Class name	Fall	Spring	Summer
FILM 180	0	3	0
FILM 215	2	1	0
FILM 218	1	5	0
FILM 225	3	3	1
FILM 250	1	0	0
FILM 273	0	0	0
FILM 275	5	2	0
FILM 280	7	0	0
FILM 281	-1	-1	-1
FILM 284	0	7	0
FILM 285	0	1	0
FILM 287	-1	-1	-1
FILM 308	4	0	0
FILM 321	-1	-1	-1
FILM 323	0	5	0
FILM 327	7	0	0
FILM 328	-1	-1	-1
FILM 329	-1	-1	-1
FILM 332	-1	-1	-1
FILM 334	-1	-1	-1
FILM 336	-1	-1	-1
FILM 339	-1	-1	-1
FILM 351	0	1	0
FILM 359	2	0	0
FILM 361	0	1	0
FILM 373	2	0	0
FILM 378	0	1	0
FILM 380	0	0	0
FILM 381	0	4	0
FILM 382	1	0	0
FILM 383	0	4	0
FILM 384	0	2	0
FILM 385	1	1	0
FILM 386	0	0	0
FILM 388	0	2	0
FILM 395	4	5	0
FILM 396	0	2	0
FILM 420	1	7	0
FILM 427	0	0	0
FILM 428	3	0	0
FILM 430	0	1	0
FILM 432	0	5	6
FILM 433	7	0	0
FILM 435	0	3	0
FILM 444	2	0	0
FILM 455	0	0	0
FILM 456	2	3	0
FILM 483	0	0	0
FILM 485	0	1	0
