Class name	Fall	Spring	Summer
FREN 007	0	0	0
FREN 141	4	1	1
FREN 142	1	3	0
FREN 222	0	0	0
FREN 263	5	1	3
FREN 264	1	3	3
FREN 301	7	5	0
FREN 302	0	4	0
FREN 305	4	0	0
FREN 307	2	1	0
FREN 311	7	0	0
FREN 312	0	7	0
FREN 313	4	0	0
FREN 321	2	0	0
FREN 323	0	1	0
FREN 324	0	2	0
FREN 332	1	0	0
FREN 350	0	1	0
FREN 351	0	1	0
FREN 355	2	2	0
FREN 356	1	1	0
FREN 360	0	0	0
FREN 370	2	1	0
FREN 380	0	1	0
FREN 401	0	2	0
FREN 403	7	7	0
FREN 404	0	0	0
FREN 407	2	1	0
FREN 409	1	1	0
FREN 411	0	1	0
FREN 412	1	0	0
FREN 415	0	1	0
FREN 416	1	0	0
FREN 424	0	2	0
FREN 430	0	0	0
FREN 450	2	0	0
FREN 451	2	0	0
FREN 452	1	0	0
FREN 453	1	0	0
FREN 459	0	2	0
FREN 478	0	1	0
FREN 482	0	0	0
FREN 487	0	0	0
FREN 495	2	1	0
