Class name	Fall	Spring	Summer
FWIS 100	7	4	2
FWIS 101	3	1	0
FWIS 102	1	1	0
FWIS 103	2	2	0
FWIS 104	2	1	0
FWIS 105	6	0	0
FWIS 106	4	0	0
FWIS 107	4	2	0
FWIS 108	5	5	0
FWIS 109	6	3	0
FWIS 110	2	0	0
FWIS 111	2	2	0
FWIS 112	2	2	0
FWIS 113	1	2	0
FWIS 114	4	1	0
FWIS 115	3	2	0
FWIS 116	3	0	0
FWIS 117	5	0	0
FWIS 118	3	1	0
FWIS 119	1	3	0
FWIS 120	4	4	0
FWIS 121	4	2	0
FWIS 122	7	0	0
FWIS 123	2	2	0
FWIS 124	1	0	0
FWIS 125	4	1	0
FWIS 126	3	2	0
FWIS 127	0	3	0
FWIS 128	2	1	0
FWIS 129	0	3	0
FWIS 130	5	5	0
FWIS 131	3	1	0
FWIS 132	5	1	0
FWIS 133	3	0	0
FWIS 134	3	2	0
FWIS 135	6	1	0
FWIS 136	2	2	0
FWIS 137	5	2	0
FWIS 138	2	3	0
FWIS 139	4	2	0
FWIS 140	2	1	0
FWIS 141	2	2	0
FWIS 142	1	3	0
FWIS 143	2	2	0
FWIS 144	2	2	0
FWIS 145	1	1	0
FWIS 146	2	5	0
FWIS 147	2	2	0
FWIS 148	1	0	0
FWIS 149	0	3	0
FWIS 150	2	1	0
FWIS 151	2	3	0
FWIS 152	0	6	0
FWIS 153	0	5	0
FWIS 154	1	4	0
FWIS 155	5	2	0
FWIS 156	2	3	0
FWIS 157	2	3	0
FWIS 158	2	2	0
FWIS 159	0	1	0
FWIS 160	3	3	0
FWIS 161	0	3	0
FWIS 162	0	4	0
FWIS 163	6	5	0
FWIS 164	3	4	0
FWIS 165	1	2	0
FWIS 166	1	2	0
FWIS 167	2	1	0
FWIS 168	1	6	0
FWIS 169	1	1	0
FWIS 170	2	1	0
FWIS 171	5	5	0
FWIS 172	2	0	0
FWIS 173	1	1	0
FWIS 174	1	2	0
FWIS 175	2	0	0
FWIS 176	0	1	0
FWIS 177	0	3	0
FWIS 178	3	0	0
FWIS 179	3	1	0
FWIS 180	3	2	0
FWIS 181	3	2	0
FWIS 182	3	3	0
FWIS 183	3	4	0
FWIS 184	4	2	0
FWIS 185	4	3	0
FWIS 186	1	2	0
FWIS 187	2	1	0
FWIS 188	2	3	0
FWIS 189	2	3	0
FWIS 190	1	3	0
FWIS 191	2	1	0
FWIS 192	3	1	0
FWIS 193	2	3	0
FWIS 194	2	3	0
FWIS 195	2	2	0
FWIS 196	2	2	0
FWIS 197	1	3	0
FWIS 198	1	0	0
FWIS 199	4	0	0
