Class name	Fall	Spring	Summer
GERM 106	1	0	0
GERM 121	0	1	0
GERM 122	1	3	0
GERM 123	0	0	0
GERM 124	0	0	0
GERM 128	1	1	0
GERM 129	0	0	0
GERM 130	1	0	0
GERM 132	0	3	0
GERM 134	1	0	0
GERM 136	5	0	0
GERM 141	4	0	0
GERM 142	0	3	0
GERM 178	0	1	0
GERM 222	0	0	0
GERM 263	5	0	2
GERM 264	0	4	2
GERM 280	2	0	0
GERM 301	6	0	0
GERM 302	0	5	0
GERM 305	3	0	0
GERM 306	0	3	0
GERM 307	0	3	0
GERM 309	2	1	0
GERM 311	0	1	0
GERM 320	1	0	0
GERM 321	0	0	0
GERM 322	1	4	0
GERM 324	1	1	0
GERM 325	0	2	0
GERM 326	7	0	0
GERM 327	1	1	0
GERM 328	0	1	0
GERM 329	1	1	0
GERM 330	1	0	0
GERM 333	0	2	0
GERM 334	0	1	0
GERM 336	0	1	0
GERM 337	1	0	0
GERM 338	1	2	0
GERM 339	0	2	0
GERM 340	0	2	0
GERM 341	1	0	0
GERM 344	0	0	0
GERM 345	2	0	0
GERM 349	0	0	0
GERM 351	0	1	0
GERM 352	0	2	0
GERM 361	0	0	0
GERM 362	0	0	0
GERM 363	0	0	0
GERM 364	0	0	0
GERM 399	0	0	0
GERM 401	0	3	0
GERM 402	2	2	0
GERM 405	0	0	0
GERM 411	1	0	0
GERM 420	0	1	0
GERM 425	1	0	0
GERM 430	1	0	0
GERM 435	0	0	0
GERM 491	7	0	0
GERM 492	0	5	0
GERM 493	4	0	0
GERM 494	0	3	0
GERM 541	1	0	0
GERM 542	0	0	0
GERM 677	1	1	0
