Class name	Fall	Spring	Summer
HART 007	0	0	0
HART 100	0	0	0
HART 101	6	0	0
HART 102	0	7	0
HART 103	0	0	0
HART 105	6	0	0
HART 110	0	1	0
HART 115	1	0	0
HART 117	0	0	0
HART 120	0	1	0
HART 125	1	0	0
HART 179	0	1	0
HART 180	0	3	0
HART 201	0	2	0
HART 202	3	0	0
HART 205	0	3	0
HART 207	0	2	0
HART 209	2	2	0
HART 211	4	0	0
HART 214	0	0	0
HART 216	0	1	0
HART 220	1	0	0
HART 225	6	0	0
HART 238	0	0	0
HART 240	0	0	0
HART 250	1	0	0
HART 263	1	0	0
HART 265	1	3	0
HART 280	7	0	0
HART 281	0	0	0
HART 283	0	1	0
HART 284	0	7	0
HART 285	0	0	0
HART 286	0	0	0
HART 288	0	0	0
HART 297	1	1	0
HART 298	0	0	0
HART 299	0	1	0
HART 300	6	0	0
HART 301	0	6	1
HART 302	3	0	0
HART 303	1	2	0
HART 304	1	6	0
HART 307	0	1	0
HART 308	0	1	0
HART 309	0	1	0
HART 310	0	2	0
HART 311	0	0	0
HART 312	1	1	0
HART 314	0	1	0
HART 316	0	1	0
HART 318	0	0	0
HART 321	1	2	0
HART 322	1	0	0
HART 323	0	1	0
HART 326	0	1	0
HART 327	0	1	0
HART 328	3	0	0
HART 329	2	0	0
HART 330	1	2	0
HART 331	0	1	0
HART 332	1	0	0
HART 333	0	2	0
HART 334	1	1	0
HART 336	2	1	0
HART 339	1	1	0
HART 340	1	0	0
HART 341	0	1	0
HART 342	2	2	0
HART 343	3	0	0
HART 344	0	1	0
HART 345	0	7	0
HART 346	0	1	0
HART 347	3	0	0
HART 348	0	0	0
HART 349	2	0	0
HART 351	1	1	0
HART 353	1	0	0
HART 354	1	1	0
HART 355	1	0	0
HART 357	1	0	0
HART 358	0	3	0
HART 359	2	0	0
HART 361	0	1	0
HART 362	0	1	0
HART 364	0	0	0
HART 365	2	0	0
HART 367	0	0	0
HART 369	0	0	0
HART 371	1	5	0
HART 372	2	1	0
HART 373	0	0	0
HART 374	1	1	0
HART 375	1	0	0
HART 376	1	1	0
HART 377	2	0	0
HART 378	2	1	0
HART 380	2	0	0
HART 381	0	1	0
HART 382	1	0	0
HART 383	0	4	0
HART 385	0	0	0
HART 386	0	0	0
HART 387	0	1	0
HART 388	0	2	0
HART 390	0	0	0
HART 391	0	1	0
HART 393	0	0	0
HART 395	0	0	1
HART 396	2	0	0
HART 397	0	0	3
HART 398	0	2	0
HART 399	0	0	0
HART 400	7	0	0
HART 401	0	7	0
HART 402	4	1	0
HART 403	0	6	0
HART 406	0	1	0
HART 407	1	0	0
HART 410	1	0	0
HART 412	5	4	0
HART 413	1	0	0
HART 420	0	0	0
HART 427	0	1	0
HART 430	0	1	0
HART 431	0	0	0
HART 434	1	1	0
HART 435	1	2	0
HART 440	0	1	0
HART 450	0	0	0
HART 451	1	1	0
HART 452	2	0	0
HART 457	0	0	0
HART 461	0	1	0
HART 463	0	1	0
HART 465	1	1	0
HART 480	0	2	0
HART 481	0	1	0
HART 482	0	0	0
HART 485	0	0	0
HART 486	0	0	0
HART 487	0	0	0
HART 493	0	1	0
HART 495	1	0	0
HART 498	0	0	0
HART 500	0	0	0
HART 501	6	6	0
HART 503	1	7	0
HART 504	4	7	0
HART 506	7	0	0
HART 507	1	0	0
HART 508	0	1	0
HART 509	0	1	0
HART 510	1	0	0
HART 511	0	0	0
HART 513	0	0	0
HART 515	0	1	0
HART 516	0	0	0
HART 518	1	0	0
HART 520	0	0	0
HART 521	1	2	0
HART 522	1	0	0
HART 523	1	0	0
HART 525	0	2	0
HART 526	0	1	0
HART 527	0	1	0
HART 528	0	0	0
HART 529	2	0	0
HART 530	1	2	0
HART 531	0	1	0
HART 532	1	0	0
HART 534	1	1	0
HART 535	1	2	0
HART 536	2	0	0
HART 538	0	1	0
HART 539	1	1	0
HART 540	1	1	0
HART 541	0	1	0
HART 542	2	2	0
HART 543	3	0	0
HART 544	0	1	0
HART 545	6	0	0
HART 546	1	1	0
HART 547	-1	-1	-1
HART 548	0	0	0
HART 549	0	1	0
HART 551	1	1	0
HART 552	2	0	0
HART 553	1	0	0
HART 554	1	1	0
HART 555	1	0	0
HART 557	0	0	0
HART 558	0	3	0
HART 559	0	1	0
HART 561	0	1	0
HART 562	0	1	0
HART 563	0	1	0
HART 565	1	5	0
HART 566	1	1	0
HART 568	3	0	0
HART 569	0	0	0
HART 570	1	0	0
HART 571	1	4	0
HART 572	2	0	0
HART 574	1	0	0
HART 575	2	0	0
HART 576	1	1	0
HART 577	2	0	0
HART 578	2	1	0
HART 581	0	1	0
HART 582	0	0	0
HART 584	0	0	0
HART 586	0	0	0
HART 588	0	1	0
HART 590	6	0	0
HART 593	0	1	0
HART 594	1	2	0
HART 595	1	0	0
HART 596	0	2	0
HART 597	1	1	0
HART 600	7	1	0
HART 601	1	7	0
HART 603	4	0	0
HART 604	0	3	0
HART 606	0	1	0
HART 607	1	0	0
HART 612	3	4	0
HART 623	0	1	0
HART 626	0	1	0
HART 627	0	1	0
HART 630	4	0	0
HART 640	0	1	0
HART 645	0	7	0
HART 651	1	1	0
HART 653	1	0	0
HART 658	0	1	0
HART 659	2	0	0
HART 665	0	3	0
HART 675	1	0	0
HART 689	0	0	0
HART 691	0	1	0
HART 695	0	0	0
HART 697	0	0	3
HART 700	0	0	2
HART 800	7	6	5
