Class name	Fall	Spring	Summer
HIST 007	0	0	0
HIST 101	7	0	0
HIST 102	1	4	1
HIST 103	0	0	0
HIST 105	0	0	0
HIST 107	0	0	0
HIST 108	1	3	0
HIST 111	1	1	0
HIST 117	7	0	1
HIST 118	0	7	2
HIST 120	1	3	0
HIST 144	4	1	0
HIST 151	0	5	0
HIST 176	1	0	0
HIST 186	1	1	0
HIST 188	0	0	1
HIST 190	1	0	0
HIST 200	4	0	0
HIST 201	1	1	0
HIST 202	1	0	0
HIST 203	0	1	0
HIST 204	3	0	0
HIST 205	1	2	0
HIST 206	4	0	0
HIST 207	1	0	0
HIST 208	0	0	0
HIST 209	1	0	0
HIST 211	2	0	0
HIST 212	2	0	0
HIST 215	1	1	0
HIST 216	0	1	0
HIST 217	4	0	0
HIST 218	1	5	0
HIST 220	0	0	0
HIST 222	1	0	0
HIST 225	1	1	0
HIST 226	1	1	0
HIST 227	1	0	0
HIST 228	1	2	0
HIST 229	0	1	0
HIST 230	0	1	0
HIST 231	4	0	0
HIST 232	0	5	0
HIST 233	1	4	0
HIST 236	0	1	0
HIST 239	0	1	0
HIST 241	2	0	0
HIST 242	0	2	0
HIST 243	0	0	0
HIST 244	0	1	0
HIST 246	2	2	1
HIST 251	3	2	0
HIST 256	1	0	0
HIST 259	3	0	0
HIST 266	1	1	0
HIST 268	0	2	0
HIST 271	1	2	0
HIST 275	0	1	0
HIST 278	2	0	0
HIST 281	1	1	0
HIST 291	6	0	0
HIST 295	4	3	0
HIST 300	7	7	0
HIST 301	1	0	0
HIST 305	0	1	0
HIST 307	3	0	0
HIST 308	0	1	0
HIST 309	2	0	0
HIST 311	1	0	0
HIST 312	2	0	0
HIST 315	1	1	0
HIST 316	0	0	0
HIST 318	0	1	0
HIST 320	1	1	0
HIST 321	1	1	0
HIST 324	1	2	0
HIST 327	2	2	0
HIST 328	0	1	0
HIST 329	2	0	0
HIST 330	3	1	0
HIST 333	1	1	0
HIST 334	0	2	0
HIST 337	1	0	0
HIST 338	0	3	0
HIST 340	0	3	0
HIST 342	2	4	0
HIST 344	0	2	0
HIST 345	0	0	0
HIST 347	0	2	0
HIST 350	0	0	0
HIST 351	5	1	0
HIST 352	3	0	0
HIST 354	0	0	0
HIST 355	2	0	0
HIST 356	2	0	0
HIST 357	3	0	0
HIST 358	1	1	0
HIST 359	0	3	0
HIST 361	3	2	0
HIST 362	0	5	0
HIST 364	0	2	0
HIST 365	0	3	0
HIST 366	2	0	0
HIST 367	0	1	0
HIST 370	0	6	0
HIST 371	0	1	0
HIST 372	1	0	0
HIST 373	1	1	0
HIST 374	1	3	0
HIST 375	1	2	0
HIST 378	2	0	0
HIST 380	0	0	0
HIST 381	1	0	0
HIST 382	0	1	0
HIST 384	1	2	0
HIST 386	0	2	0
HIST 387	3	1	0
HIST 389	0	3	0
HIST 390	4	3	0
HIST 392	0	2	0
HIST 395	4	3	0
HIST 398	3	5	0
HIST 401	1	1	0
HIST 402	0	1	0
HIST 403	7	0	0
HIST 404	0	7	0
HIST 407	0	0	0
HIST 409	0	1	0
HIST 410	0	1	0
HIST 411	0	0	0
HIST 416	0	1	0
HIST 420	1	0	0
HIST 421	2	3	0
HIST 422	1	2	0
HIST 423	1	1	0
HIST 424	1	0	0
HIST 425	5	0	0
HIST 427	0	2	0
HIST 428	1	1	0
HIST 429	0	0	0
HIST 432	3	0	0
HIST 433	0	1	0
HIST 434	0	2	0
HIST 436	3	0	0
HIST 437	1	0	0
HIST 443	1	2	0
HIST 448	0	2	0
HIST 455	1	0	0
HIST 457	1	2	0
HIST 459	2	1	0
HIST 461	2	3	0
HIST 464	0	3	0
HIST 477	0	1	0
HIST 478	0	2	0
HIST 481	0	0	0
HIST 490	0	0	0
HIST 492	1	3	0
HIST 493	0	1	0
HIST 494	2	0	0
HIST 495	0	2	0
HIST 496	0	0	0
HIST 500	2	3	0
HIST 501	0	1	0
HIST 505	0	2	0
HIST 506	1	1	0
HIST 508	1	0	0
HIST 509	6	7	0
HIST 510	5	7	0
HIST 521	2	1	0
HIST 533	1	0	0
HIST 534	0	0	0
HIST 536	0	4	0
HIST 539	0	0	0
HIST 540	1	0	0
HIST 542	1	0	0
HIST 549	1	0	0
HIST 558	1	1	0
HIST 561	0	0	0
HIST 563	1	2	0
HIST 565	4	0	0
HIST 566	1	1	0
HIST 568	0	0	0
HIST 570	0	2	0
HIST 571	1	0	0
HIST 572	1	1	0
HIST 574	1	0	0
HIST 575	7	0	0
HIST 577	6	0	0
HIST 578	7	0	0
HIST 579	0	1	0
HIST 582	3	0	0
HIST 583	1	2	0
HIST 584	0	1	0
HIST 587	1	3	0
HIST 588	2	2	0
HIST 590	5	0	0
HIST 591	5	4	0
HIST 595	1	1	0
HIST 596	0	1	0
HIST 598	0	2	0
HIST 599	5	4	1
HIST 601	1	2	0
HIST 602	1	2	0
HIST 603	3	0	0
HIST 604	0	1	0
HIST 700	7	5	0
HIST 800	7	7	7
