Class name	Fall	Spring	Summer
HUMA 101	0	0	0
HUMA 102	1	4	0
HUMA 103	1	0	0
HUMA 107	6	0	0
HUMA 108	0	0	0
HUMA 111	0	6	0
HUMA 201	7	7	7
HUMA 202	0	4	0
HUMA 203	0	1	0
HUMA 210	7	7	0
HUMA 238	1	0	0
HUMA 300	3	0	0
HUMA 302	0	2	0
HUMA 303	2	0	0
HUMA 308	0	1	7
HUMA 309	7	0	0
HUMA 310	7	7	0
HUMA 311	0	1	6
HUMA 312	0	5	7
HUMA 313	0	1	0
HUMA 314	1	1	0
HUMA 315	3	1	0
HUMA 316	0	2	0
HUMA 317	0	3	2
HUMA 320	0	1	0
HUMA 321	0	0	0
HUMA 322	1	4	0
HUMA 324	1	1	0
HUMA 325	0	2	0
HUMA 328	0	1	0
HUMA 329	1	1	0
HUMA 340	0	2	0
HUMA 368	0	4	0
HUMA 371	4	0	0
HUMA 372	7	0	0
HUMA 373	1	2	0
HUMA 401	0	1	2
HUMA 402	1	0	0
HUMA 403	0	2	0
HUMA 404	1	0	0
HUMA 405	0	1	0
HUMA 406	0	0	0
HUMA 407	0	1	0
HUMA 477	1	0	0
HUMA 498	1	1	0
HUMA 499	0	0	0
