Class name	Fall	Spring	Summer
HURC 007	2	0	2
HURC 101	1	2	0
HURC 201	2	2	0
HURC 210	0	0	0
HURC 211	0	1	0
HURC 213	0	1	0
HURC 238	0	0	0
HURC 245	1	2	0
HURC 299	2	2	0
HURC 301	1	2	0
HURC 302	3	1	0
HURC 303	1	1	0
HURC 304	1	3	1
HURC 305	1	0	0
HURC 306	4	1	0
HURC 307	0	1	0
HURC 308	1	1	0
HURC 310	0	1	0
HURC 311	1	1	0
HURC 341	2	0	0
HURC 361	2	0	0
HURC 401	3	5	0
HURC 402	1	1	0
HURC 403	1	1	0
HURC 404	0	0	0
HURC 405	0	0	0
HURC 406	1	1	0
HURC 407	0	0	0
HURC 408	1	0	0
HURC 423	3	3	0
HURC 430	3	3	1
HURC 431	0	1	0
HURC 432	0	2	0
HURC 450	0	1	0
HURC 480	0	1	1
HURC 501	6	6	0
HURC 502	4	4	0
HURC 503	1	0	0
HURC 506	4	0	0
HURC 508	1	1	0
HURC 511	1	0	0
HURC 601	3	5	0
HURC 602	7	6	0
HURC 604	1	1	0
HURC 605	0	0	0
HURC 606	1	1	0
HURC 607	0	0	0
HURC 608	1	0	0
HURC 623	0	1	0
HURC 630	0	1	0
HURC 632	0	1	0
HURC 650	0	1	0
