Class name	Fall	Spring	Summer
LING 007	0	0	0
LING 107	0	1	0
LING 200	7	7	0
LING 201	1	0	0
LING 205	2	3	0
LING 216	4	0	0
LING 300	7	0	0
LING 301	5	1	0
LING 303	1	1	0
LING 304	0	5	0
LING 305	0	4	0
LING 306	2	2	0
LING 307	0	1	0
LING 309	6	0	0
LING 310	0	1	0
LING 311	0	5	0
LING 313	4	1	0
LING 315	0	1	0
LING 320	0	2	0
LING 322	1	0	0
LING 325	5	3	0
LING 330	0	1	0
LING 336	1	2	0
LING 340	0	2	0
LING 390	0	2	0
LING 393	0	1	0
LING 397	1	1	0
LING 400	0	2	0
LING 401	2	0	0
LING 404	0	1	0
LING 405	3	0	0
LING 406	0	0	0
LING 407	3	0	0
LING 408	0	4	0
LING 409	2	4	0
LING 410	0	0	0
LING 411	2	0	0
LING 414	0	0	0
LING 415	4	3	0
LING 416	0	3	0
LING 419	3	0	0
LING 427	1	0	0
LING 428	1	0	0
LING 480	0	6	0
LING 481	7	7	0
LING 482	7	7	0
LING 499	0	1	0
LING 500	3	0	0
LING 501	3	0	0
LING 504	0	3	0
LING 505	0	2	0
LING 506	1	0	0
LING 510	0	1	0
LING 511	0	4	0
LING 513	3	0	0
LING 515	0	1	0
LING 530	0	0	0
LING 540	0	0	0
LING 550	3	5	0
LING 551	1	1	0
LING 552	0	1	0
LING 553	0	1	0
LING 554	1	0	0
LING 555	0	1	0
LING 556	0	1	0
LING 557	1	0	0
LING 558	0	0	0
LING 561	0	1	0
LING 562	0	0	0
LING 581	7	7	7
LING 590	7	7	0
LING 800	7	7	7
