Class name	Fall	Spring	Summer
LPAP 100	7	7	0
LPAP 104	0	1	0
LPAP 107	5	6	0
LPAP 109	5	4	0
LPAP 110	7	7	0
LPAP 111	0	0	0
LPAP 113	0	0	3
LPAP 115	3	0	1
LPAP 116	0	2	0
LPAP 117	2	5	0
LPAP 118	7	7	0
LPAP 119	2	2	0
LPAP 120	7	7	0
LPAP 125	6	7	0
LPAP 126	0	0	0
LPAP 127	0	0	0
LPAP 130	0	0	0
LPAP 131	6	6	0
LPAP 132	0	0	0
LPAP 133	7	7	0
LPAP 134	7	0	0
LPAP 135	7	5	0
LPAP 136	1	1	0
LPAP 137	7	3	0
LPAP 138	7	6	0
LPAP 139	0	5	0
LPAP 141	0	0	0
LPAP 143	0	4	0
LPAP 144	7	4	0
LPAP 145	0	2	0
LPAP 147	0	2	0
LPAP 148	0	1	0
LPAP 149	0	0	0
LPAP 150	0	0	0
LPAP 151	0	4	0
LPAP 152	5	7	0
LPAP 153	0	2	0
LPAP 155	7	7	0
LPAP 156	0	0	0
LPAP 157	7	3	0
LPAP 159	0	0	0
LPAP 161	1	2	0
LPAP 162	0	0	0
LPAP 164	7	7	0
LPAP 165	0	0	0
LPAP 166	7	6	0
LPAP 169	0	0	0
LPAP 170	7	7	0
LPAP 171	2	0	0
LPAP 172	7	7	0
LPAP 173	0	0	0
LPAP 175	0	7	0
LPAP 176	2	2	0
LPAP 177	0	0	0
LPAP 178	7	5	0
LPAP 180	7	7	0
LPAP 181	0	0	0
LPAP 182	7	7	0
LPAP 183	7	5	0
LPAP 185	0	1	0
LPAP 186	7	7	0
LPAP 187	7	7	0
LPAP 190	5	1	1
LPAP 191	0	0	0
LPAP 192	3	1	0
LPAP 193	0	0	0
LPAP 194	4	3	0
LPAP 195	2	1	0
LPAP 197	6	7	2
LPAP 198	7	7	0
LPAP 199	1	0	0
LPAP 238	0	1	0
