Class name	Fall	Spring	Summer
MATH 007	0	0	1
MATH 101	7	7	7
MATH 102	7	7	7
MATH 105	0	0	0
MATH 106	0	0	0
MATH 111	7	0	0
MATH 112	0	7	0
MATH 211	7	7	7
MATH 212	7	7	7
MATH 220	1	0	0
MATH 221	7	0	0
MATH 222	0	7	0
MATH 238	1	0	0
MATH 300	6	1	0
MATH 302	0	7	0
MATH 304	1	6	0
MATH 306	0	4	0
MATH 321	7	0	0
MATH 322	0	7	0
MATH 331	4	0	0
MATH 354	7	0	0
MATH 355	7	2	7
MATH 356	0	7	0
MATH 365	7	0	0
MATH 366	0	7	0
MATH 368	5	1	0
MATH 370	0	4	0
MATH 371	3	0	0
MATH 373	0	2	0
MATH 374	0	1	0
MATH 376	1	0	0
MATH 381	7	0	0
MATH 382	0	7	0
MATH 390	0	1	0
MATH 401	7	0	0
MATH 402	0	7	0
MATH 410	0	4	0
MATH 423	7	0	0
MATH 424	0	5	0
MATH 425	7	0	0
MATH 426	0	4	0
MATH 427	0	7	0
MATH 428	6	0	0
MATH 435	0	6	0
MATH 443	0	7	0
MATH 444	7	0	0
MATH 445	0	7	0
MATH 448	1	0	0
MATH 463	7	0	0
MATH 464	0	7	0
MATH 465	5	0	0
MATH 466	1	1	0
MATH 468	0	3	0
MATH 471	2	0	0
MATH 479	0	0	3
MATH 490	7	7	0
MATH 498	0	2	0
MATH 499	7	7	0
MATH 500	0	7	0
MATH 501	2	0	0
MATH 502	1	0	0
MATH 513	3	0	0
MATH 514	0	1	0
MATH 515	7	0	0
MATH 516	0	4	0
MATH 517	0	7	0
MATH 518	6	0	0
MATH 521	1	4	0
MATH 522	7	6	0
MATH 523	6	0	0
MATH 524	0	2	0
MATH 527	3	0	0
MATH 528	0	2	0
MATH 538	0	6	0
MATH 539	7	0	0
MATH 540	0	7	0
MATH 541	1	6	0
MATH 542	2	4	0
MATH 543	0	0	0
MATH 563	7	0	0
MATH 564	0	7	0
MATH 565	5	0	0
MATH 566	1	2	0
MATH 567	2	2	0
MATH 571	1	0	0
MATH 590	7	7	0
MATH 591	7	7	0
MATH 680	7	7	0
MATH 681	7	7	0
MATH 682	7	7	0
MATH 683	7	7	0
MATH 690	7	6	7
MATH 698	0	2	0
MATH 699	7	7	0
MATH 800	7	7	7
