Class name	Fall	Spring	Summer
MDEM 100	1	1	0
MDEM 101	5	0	0
MDEM 102	0	4	0
MDEM 103	0	0	0
MDEM 105	0	1	0
MDEM 108	0	0	0
MDEM 111	4	0	0
MDEM 116	0	1	0
MDEM 120	1	2	0
MDEM 171	1	0	0
MDEM 201	5	0	0
MDEM 205	1	1	0
MDEM 210	2	0	0
MDEM 211	5	0	0
MDEM 212	0	3	0
MDEM 222	0	4	0
MDEM 271	1	1	0
MDEM 281	1	1	0
MDEM 301	1	3	0
MDEM 305	1	0	0
MDEM 306	0	0	0
MDEM 308	0	1	0
MDEM 311	3	0	0
MDEM 312	0	0	0
MDEM 313	0	0	0
MDEM 314	0	0	0
MDEM 315	0	0	0
MDEM 316	1	1	0
MDEM 317	1	1	0
MDEM 319	1	0	0
MDEM 320	0	0	0
MDEM 323	0	1	0
MDEM 324	0	2	0
MDEM 327	2	0	0
MDEM 330	0	2	0
MDEM 331	0	0	0
MDEM 332	1	0	0
MDEM 340	1	0	0
MDEM 343	2	0	0
MDEM 345	0	0	0
MDEM 350	1	2	0
MDEM 357	2	0	0
MDEM 363	0	0	0
MDEM 364	0	1	0
MDEM 370	1	1	0
MDEM 373	2	0	0
MDEM 375	2	1	0
MDEM 376	0	1	0
MDEM 377	2	0	0
MDEM 378	2	0	0
MDEM 379	2	1	0
MDEM 391	0	1	0
MDEM 398	0	0	0
MDEM 402	0	0	0
MDEM 404	0	0	0
MDEM 411	0	0	0
MDEM 412	0	0	0
MDEM 413	0	0	0
MDEM 425	0	1	0
MDEM 427	0	0	0
MDEM 429	2	0	0
MDEM 431	0	0	0
MDEM 434	1	0	0
MDEM 435	1	1	0
MDEM 436	1	0	0
MDEM 444	0	1	0
MDEM 456	5	4	0
MDEM 462	0	0	0
MDEM 478	0	0	0
MDEM 481	0	0	0
