Class name	Fall	Spring	Summer
MECH 007	1	1	1
MECH 200	0	7	0
MECH 211	7	7	0
MECH 308	5	3	0
MECH 311	0	7	0
MECH 331	0	7	0
MECH 332	0	7	0
MECH 340	7	7	0
MECH 343	7	0	0
MECH 371	7	0	0
MECH 373	0	0	0
MECH 380	0	0	0
MECH 383	0	0	0
MECH 400	0	7	0
MECH 401	2	7	0
MECH 403	7	2	0
MECH 404	2	7	0
MECH 407	7	0	0
MECH 408	0	7	0
MECH 411	4	0	0
MECH 412	0	7	0
MECH 417	0	6	0
MECH 420	0	7	0
MECH 427	3	0	0
MECH 431	7	0	0
MECH 435	6	0	0
MECH 450	7	0	0
MECH 454	7	0	0
MECH 456	0	0	0
MECH 472	7	0	0
MECH 473	0	1	0
MECH 474	0	3	0
MECH 477	1	0	0
MECH 481	0	7	0
MECH 488	0	3	0
MECH 490	7	7	3
MECH 497	1	0	0
MECH 498	0	3	0
MECH 499	3	0	0
MECH 500	0	7	0
MECH 501	4	0	0
MECH 502	0	7	0
MECH 503	6	1	0
MECH 505	0	2	0
MECH 508	3	0	0
MECH 510	0	0	0
MECH 517	0	6	0
MECH 519	2	0	0
MECH 520	4	0	0
MECH 523	0	0	0
MECH 524	1	0	0
MECH 527	3	0	0
MECH 535	3	0	0
MECH 537	3	1	0
MECH 543	0	0	0
MECH 550	4	0	0
MECH 554	7	0	0
MECH 555	0	3	0
MECH 556	0	0	0
MECH 572	0	7	0
MECH 573	3	1	0
MECH 575	0	2	0
MECH 576	3	0	0
MECH 580	0	2	0
MECH 581	1	0	0
MECH 582	2	1	0
MECH 586	2	0	0
MECH 588	0	3	0
MECH 591	0	2	0
MECH 592	4	0	0
MECH 593	4	3	0
MECH 594	7	0	0
MECH 595	2	1	0
MECH 596	0	6	0
MECH 597	1	0	0
MECH 598	0	3	0
MECH 599	2	6	0
MECH 5XX	0	0	0
MECH 601	2	3	0
MECH 602	1	2	0
MECH 606	7	7	0
MECH 611	7	0	0
MECH 612	1	7	0
MECH 620	0	4	0
MECH 621	4	0	0
MECH 622	0	5	0
MECH 654	0	3	0
MECH 665	0	2	0
MECH 667	0	1	0
MECH 678	3	0	0
MECH 679	3	0	0
MECH 683	1	0	0
MECH 691	1	0	0
MECH 800	7	7	7
