Class name	Fall	Spring	Summer
MGMP 500	6	0	0
MGMP 501	6	0	0
MGMP 502	0	7	0
MGMP 510	6	0	0
MGMP 511	0	7	0
MGMP 540	6	0	0
MGMP 543	0	7	0
MGMP 560	6	1	0
MGMP 570	6	0	0
MGMP 571	0	5	2
MGMP 574	0	7	0
MGMP 580	0	7	0
MGMP 594	1	0	0
MGMP 595	6	0	0
MGMP 596	4	2	0
MGMP 597	0	6	0
MGMP 600	0	3	0
MGMP 601	7	0	0
MGMP 602	6	0	0
MGMP 603	0	5	0
MGMP 626	0	2	0
MGMP 627	0	1	0
MGMP 645	0	1	0
MGMP 651	0	1	0
MGMP 659	1	0	0
MGMP 684	2	5	0
MGMP 689	6	0	0
MGMP 700	0	0	3
MGMP 701	6	0	0
MGMP 703	5	0	0
MGMP 704	5	0	0
MGMP 707	0	7	0
MGMP 708	0	7	0
MGMP 709	0	7	0
MGMP 789	1	0	1
MGMP 798	1	5	1
MGMP 799	0	7	0
