Class name	Fall	Spring	Summer
MGMT 500	0	0	0
MGMT 501	6	0	0
MGMT 502	0	7	0
MGMT 503	0	7	0
MGMT 510	6	0	0
MGMT 512	0	7	0
MGMT 540	6	0	0
MGMT 541	6	7	1
MGMT 543	6	0	0
MGMT 560	0	7	0
MGMT 561	6	6	1
MGMT 570	6	0	0
MGMT 571	0	7	0
MGMT 574	1	6	0
MGMT 580	6	0	0
MGMT 591	0	1	0
MGMT 594	1	0	0
MGMT 595	6	0	0
MGMT 596	5	1	0
MGMT 597	0	7	0
MGMT 599	0	7	0
MGMT 600	0	7	0
MGMT 601	7	0	0
MGMT 603	7	0	0
MGMT 604	0	2	0
MGMT 606	1	1	0
MGMT 607	1	0	0
MGMT 608	1	1	0
MGMT 609	2	7	0
MGMT 610	7	0	0
MGMT 611	7	3	0
MGMT 612	4	0	0
MGMT 613	0	2	0
MGMT 614	1	0	0
MGMT 615	4	5	0
MGMT 616	7	0	0
MGMT 617	0	2	0
MGMT 618	4	1	0
MGMT 619	0	2	0
MGMT 620	0	1	0
MGMT 621	3	7	0
MGMT 622	5	0	0
MGMT 623	4	0	0
MGMT 624	1	4	0
MGMT 625	4	0	0
MGMT 626	4	5	0
MGMT 627	5	3	0
MGMT 628	0	0	0
MGMT 629	4	0	0
MGMT 630	2	5	0
MGMT 631	4	0	0
MGMT 632	0	0	0
MGMT 633	0	7	0
MGMT 634	2	0	0
MGMT 635	2	0	0
MGMT 636	4	0	0
MGMT 637	1	1	0
MGMT 638	3	2	0
MGMT 639	0	5	0
MGMT 641	0	2	0
MGMT 642	7	0	0
MGMT 643	7	7	0
MGMT 644	7	7	0
MGMT 645	6	5	0
MGMT 646	7	0	0
MGMT 647	3	4	0
MGMT 648	7	7	0
MGMT 649	0	4	0
MGMT 650	3	3	0
MGMT 651	3	4	0
MGMT 652	2	5	0
MGMT 653	0	0	0
MGMT 654	1	6	0
MGMT 655	1	1	0
MGMT 656	0	7	0
MGMT 657	0	4	0
MGMT 658	0	6	0
MGMT 659	7	3	0
MGMT 660	4	3	0
MGMT 661	0	7	0
MGMT 662	1	0	0
MGMT 663	0	0	0
MGMT 664	0	7	0
MGMT 665	2	0	0
MGMT 667	0	0	0
MGMT 668	2	0	0
MGMT 669	0	3	0
MGMT 670	4	0	0
MGMT 671	6	0	0
MGMT 672	0	2	0
MGMT 673	0	1	2
MGMT 674	3	1	0
MGMT 675	0	2	0
MGMT 676	4	2	0
MGMT 678	7	0	0
MGMT 679	0	3	0
MGMT 680	0	5	0
MGMT 681	4	3	0
MGMT 682	6	1	0
MGMT 683	0	1	0
MGMT 684	1	2	0
MGMT 685	3	2	0
MGMT 686	3	7	0
MGMT 687	7	6	0
MGMT 688	3	3	0
MGMT 689	4	0	0
MGMT 690	0	7	0
MGMT 691	5	3	0
MGMT 692	5	3	0
MGMT 693	4	5	0
MGMT 694	0	6	0
MGMT 695	0	3	0
MGMT 696	0	3	0
MGMT 697	0	0	2
MGMT 698	0	1	0
MGMT 699	0	0	5
MGMT 700	7	7	2
MGMT 701	0	0	0
MGMT 702	0	6	3
MGMT 703	0	0	7
MGMT 704	7	0	0
MGMT 705	0	7	0
MGMT 706	1	0	0
MGMT 707	6	0	0
MGMT 708	0	6	0
MGMT 709	0	4	0
MGMT 710	6	0	0
MGMT 711	6	0	0
MGMT 712	4	1	0
MGMT 713	5	0	0
MGMT 714	0	5	0
MGMT 715	6	0	0
MGMT 716	0	2	0
MGMT 718	0	3	0
MGMT 719	3	1	0
MGMT 720	2	2	0
MGMT 721	6	7	0
MGMT 722	3	0	0
MGMT 723	6	0	0
MGMT 724	0	6	0
MGMT 725	0	6	0
MGMT 726	5	3	0
MGMT 727	0	4	0
MGMT 728	0	2	0
MGMT 729	2	4	0
MGMT 730	3	2	0
MGMT 731	0	2	0
MGMT 732	1	0	0
MGMT 733	0	2	0
MGMT 734	5	0	0
MGMT 735	0	1	0
MGMT 736	0	1	0
MGMT 737	0	5	0
MGMT 738	3	0	0
MGMT 739	0	2	0
MGMT 740	4	4	0
MGMT 741	4	0	0
MGMT 742	1	3	0
MGMT 743	0	1	0
MGMT 744	0	2	0
MGMT 745	0	7	0
MGMT 746	5	1	0
MGMT 747	3	5	0
MGMT 748	2	0	0
MGMT 749	0	2	0
MGMT 750	4	3	0
MGMT 751	1	5	0
MGMT 752	0	3	0
MGMT 753	4	7	0
MGMT 754	0	2	0
MGMT 755	3	0	0
MGMT 756	2	0	0
MGMT 757	6	0	0
MGMT 758	0	1	0
MGMT 759	0	4	0
MGMT 760	3	3	0
MGMT 761	0	3	0
MGMT 762	5	3	0
MGMT 763	1	1	0
MGMT 764	1	3	0
MGMT 765	0	5	0
MGMT 766	0	2	0
MGMT 767	0	2	0
MGMT 768	0	1	0
MGMT 769	4	4	0
MGMT 770	1	3	0
MGMT 771	0	2	0
MGMT 772	4	4	0
MGMT 773	2	4	0
MGMT 774	1	0	1
MGMT 775	1	1	0
MGMT 776	3	3	0
MGMT 777	3	3	0
MGMT 778	1	0	0
MGMT 779	0	1	0
MGMT 780	0	0	1
MGMT 781	2	0	0
MGMT 782	0	3	0
MGMT 783	2	0	0
MGMT 784	1	0	0
MGMT 786	1	6	0
MGMT 789	0	4	0
MGMT 790	3	0	0
MGMT 792	2	0	0
MGMT 795	1	0	0
MGMT 796	0	4	0
MGMT 797	0	7	0
MGMT 798	2	0	0
MGMT 799	1	0	0
MGMT 800	7	6	0
MGMT 801	6	0	0
MGMT 802	0	6	0
MGMT 806	0	4	0
MGMT 807	0	2	0
MGMT 809	2	0	0
MGMT 813	5	0	0
MGMT 815	1	0	0
