Class name	Fall	Spring	Summer
MLSC 501	2	0	0
MLSC 502	0	1	0
MLSC 505	0	2	0
MLSC 506	0	1	0
MLSC 508	1	0	0
MLSC 509	0	1	0
MLSC 510	0	1	0
MLSC 513	1	2	0
MLSC 515	1	0	0
MLSC 517	1	0	0
MLSC 519	0	1	0
MLSC 523	2	2	0
MLSC 525	1	2	0
MLSC 526	3	1	0
MLSC 532	0	2	0
MLSC 533	0	0	0
MLSC 534	1	2	0
MLSC 535	0	1	0
MLSC 536	0	1	0
MLSC 537	0	1	0
MLSC 538	0	1	0
MLSC 539	0	1	0
MLSC 540	0	1	0
MLSC 541	0	1	0
MLSC 542	0	1	0
MLSC 543	1	0	0
MLSC 544	0	1	0
MLSC 545	0	2	0
MLSC 546	0	1	0
MLSC 547	1	0	0
MLSC 548	0	1	0
MLSC 549	1	0	0
MLSC 550	1	0	0
MLSC 551	0	1	0
MLSC 552	0	1	0
MLSC 553	1	0	0
MLSC 554	1	0	0
MLSC 555	0	1	0
MLSC 556	0	1	0
MLSC 557	0	1	0
MLSC 558	1	0	0
MLSC 559	1	0	0
MLSC 600	7	7	0
MLSC 604	0	1	0
MLSC 606	0	2	0
MLSC 610	0	1	0
MLSC 612	0	1	0
MLSC 614	1	2	0
MLSC 615	0	0	0
MLSC 616	1	0	0
MLSC 617	1	3	0
MLSC 618	1	0	0
MLSC 620	1	0	0
MLSC 621	0	1	0
MLSC 622	0	1	0
MLSC 623	1	0	0
MLSC 624	0	2	0
MLSC 625	0	2	0
MLSC 626	1	0	0
MLSC 627	0	1	0
MLSC 628	0	1	0
MLSC 629	0	1	0
MLSC 630	1	0	0
MLSC 631	0	2	0
MLSC 632	0	1	0
MLSC 633	0	1	0
MLSC 634	0	1	0
MLSC 635	0	1	0
MLSC 700	4	4	0
MLSC 701	5	5	0
MLSC 750	1	0	0
MLSC 797	0	1	1
MLSC 798	0	0	0
MLSC 799	0	0	0
