Class name	Fall	Spring	Summer
MSNE 007	2	1	1
MSNE 201	5	0	0
MSNE 210	0	2	0
MSNE 301	5	0	0
MSNE 302	0	2	0
MSNE 303	0	4	0
MSNE 311	1	4	0
MSNE 365	0	2	0
MSNE 401	3	2	0
MSNE 402	5	0	0
MSNE 406	5	0	0
MSNE 407	5	0	0
MSNE 408	0	4	0
MSNE 409	2	0	0
MSNE 411	1	3	0
MSNE 415	4	0	0
MSNE 416	0	1	0
MSNE 417	0	1	0
MSNE 433	0	4	0
MSNE 435	0	4	0
MSNE 437	0	4	0
MSNE 450	4	4	0
MSNE 451	4	4	0
MSNE 490	5	4	4
MSNE 491	0	0	0
MSNE 499	0	0	0
MSNE 500	5	4	0
MSNE 501	4	3	0
MSNE 502	5	0	0
MSNE 503	3	1	0
MSNE 505	0	2	0
MSNE 506	5	0	0
MSNE 509	2	0	0
MSNE 510	0	2	0
MSNE 516	0	1	0
MSNE 517	0	1	0
MSNE 523	4	0	0
MSNE 533	0	4	0
MSNE 534	0	0	0
MSNE 535	0	4	0
MSNE 537	0	4	0
MSNE 538	0	3	0
MSNE 545	0	0	0
MSNE 555	0	2	0
MSNE 560	0	2	0
MSNE 569	0	4	0
MSNE 570	0	0	0
MSNE 571	1	0	0
MSNE 580	0	3	0
MSNE 581	0	0	0
MSNE 582	0	3	0
MSNE 593	0	0	0
MSNE 594	0	2	0
MSNE 599	1	0	0
MSNE 609	0	1	0
MSNE 613	3	1	0
MSNE 614	2	0	0
MSNE 615	0	2	0
MSNE 616	1	0	0
MSNE 617	0	0	0
MSNE 618	1	0	0
MSNE 621	4	4	0
MSNE 622	4	3	0
MSNE 650	0	4	0
MSNE 800	5	4	4
