Class name	Fall	Spring	Summer
MUSI 007	0	0	0
MUSI 117	7	7	7
MUSI 119	1	1	0
MUSI 141	7	7	0
MUSI 151	7	6	0
MUSI 153	7	7	0
MUSI 155	7	7	0
MUSI 157	7	6	0
MUSI 161	7	6	0
MUSI 163	7	6	0
MUSI 165	7	2	0
MUSI 167	3	2	0
MUSI 171	7	7	0
MUSI 173	7	7	0
MUSI 181	7	7	0
MUSI 183	6	6	0
MUSI 187	7	6	0
MUSI 191	7	7	0
MUSI 193	7	6	0
MUSI 195	7	7	0
MUSI 197	6	2	0
MUSI 205	0	1	0
MUSI 211	7	0	0
MUSI 212	0	7	0
MUSI 220	1	0	0
MUSI 222	0	7	0
MUSI 231	7	0	0
MUSI 232	0	7	0
MUSI 236	0	0	0
MUSI 240	0	7	0
MUSI 251	3	2	0
MUSI 253	3	2	0
MUSI 255	6	6	0
MUSI 257	0	0	0
MUSI 261	0	0	0
MUSI 263	0	0	0
MUSI 265	0	0	0
MUSI 267	0	0	0
MUSI 271	1	3	0
MUSI 273	7	7	0
MUSI 281	7	7	0
MUSI 283	4	3	0
MUSI 285	6	6	0
MUSI 287	0	0	0
MUSI 291	7	6	0
MUSI 293	0	0	0
MUSI 295	0	0	0
MUSI 297	0	0	0
MUSI 303	7	7	0
MUSI 305	7	6	0
MUSI 307	3	5	0
MUSI 311	7	0	0
MUSI 312	0	7	0
MUSI 314	1	0	0
MUSI 316	0	5	0
MUSI 317	7	7	0
MUSI 318	0	7	0
MUSI 321	7	0	0
MUSI 322	0	7	0
MUSI 327	3	0	0
MUSI 328	0	3	0
MUSI 329	0	0	0
MUSI 331	7	0	0
MUSI 332	0	7	0
MUSI 334	7	7	0
MUSI 335	7	7	0
MUSI 336	6	6	0
MUSI 337	7	7	0
MUSI 338	7	7	0
MUSI 339	7	7	0
MUSI 340	7	7	0
MUSI 341	7	7	0
MUSI 342	7	7	0
MUSI 345	7	6	0
MUSI 351	1	0	0
MUSI 353	1	0	0
MUSI 355	1	0	0
MUSI 357	1	0	0
MUSI 361	1	0	0
MUSI 363	1	0	0
MUSI 365	1	0	0
MUSI 367	1	0	0
MUSI 371	1	0	0
MUSI 373	5	4	0
MUSI 377	7	7	0
MUSI 378	3	0	0
MUSI 379	0	1	0
MUSI 381	7	7	0
MUSI 383	1	2	0
MUSI 384	3	1	0
MUSI 387	1	0	0
MUSI 389	0	7	0
MUSI 391	7	6	0
MUSI 393	1	0	0
MUSI 395	7	6	0
MUSI 397	1	0	0
MUSI 401	7	7	0
MUSI 403	7	0	0
MUSI 404	0	7	0
MUSI 405	0	4	0
MUSI 407	2	1	0
MUSI 413	2	6	0
MUSI 414	2	2	0
MUSI 415	7	7	0
MUSI 416	7	0	0
MUSI 417	0	0	0
MUSI 421	7	0	0
MUSI 422	3	0	0
MUSI 426	3	0	0
MUSI 429	3	0	0
MUSI 431	7	0	0
MUSI 432	0	7	0
MUSI 435	-1	-1	-1
MUSI 436	7	7	0
MUSI 441	7	7	0
MUSI 444	2	0	0
MUSI 445	2	0	0
MUSI 446	0	2	0
MUSI 447	5	0	0
MUSI 448	-1	-1	-1
MUSI 449	7	7	0
MUSI 450	-1	-1	-1
MUSI 451	7	7	0
MUSI 453	7	7	0
MUSI 454	0	0	0
MUSI 455	7	7	0
MUSI 457	7	7	0
MUSI 459	0	0	0
MUSI 461	7	7	0
MUSI 463	7	5	0
MUSI 465	7	1	0
MUSI 467	7	4	0
MUSI 469	0	0	0
MUSI 471	7	7	0
MUSI 472	7	7	0
MUSI 473	7	7	0
MUSI 475	1	0	0
MUSI 477	1	0	0
MUSI 479	0	0	0
MUSI 481	7	7	0
MUSI 483	7	6	0
MUSI 487	7	7	0
MUSI 491	7	7	0
MUSI 492	2	0	0
MUSI 493	7	7	0
MUSI 495	7	7	0
MUSI 497	7	7	0
MUSI 499	0	0	0
MUSI 500	4	3	0
MUSI 501	7	0	0
MUSI 502	7	6	0
MUSI 503	6	0	0
MUSI 504	0	0	0
MUSI 505	0	0	0
MUSI 507	7	7	0
MUSI 508	6	1	0
MUSI 509	1	1	0
MUSI 510	0	7	0
MUSI 511	7	0	0
MUSI 512	2	6	0
MUSI 513	6	1	0
MUSI 514	6	0	0
MUSI 515	0	3	0
MUSI 516	0	6	0
MUSI 517	6	1	0
MUSI 518	0	3	0
MUSI 519	3	3	0
MUSI 521	7	0	0
MUSI 522	0	7	0
MUSI 523	3	0	0
MUSI 524	0	4	0
MUSI 525	0	0	0
MUSI 526	1	0	0
MUSI 527	0	0	0
MUSI 528	0	3	0
MUSI 529	4	5	0
MUSI 530	1	0	0
MUSI 531	7	7	0
MUSI 532	0	3	0
MUSI 533	3	3	0
MUSI 534	0	2	0
MUSI 536	0	1	0
MUSI 537	0	2	0
MUSI 540	1	4	0
MUSI 543	1	1	0
MUSI 545	4	0	0
MUSI 546	1	1	0
MUSI 547	3	0	0
MUSI 548	0	3	0
MUSI 549	0	3	0
MUSI 551	3	0	0
MUSI 552	0	0	0
MUSI 555	4	1	0
MUSI 559	0	0	0
MUSI 569	0	0	0
MUSI 570	7	7	0
MUSI 571	7	7	0
MUSI 572	7	7	0
MUSI 573	4	0	0
MUSI 574	0	3	0
MUSI 575	7	0	0
MUSI 576	0	7	0
MUSI 577	3	0	0
MUSI 578	0	4	0
MUSI 579	0	0	0
MUSI 581	2	1	0
MUSI 583	3	1	0
MUSI 584	0	5	0
MUSI 585	7	6	0
MUSI 587	7	7	0
MUSI 588	7	0	0
MUSI 599	2	5	0
MUSI 601	7	7	0
MUSI 603	7	7	0
MUSI 605	7	0	0
MUSI 606	0	7	0
MUSI 608	0	6	0
MUSI 611	1	6	0
MUSI 613	0	6	0
MUSI 614	6	0	0
MUSI 615	3	0	0
MUSI 617	0	6	0
MUSI 619	0	4	0
MUSI 620	0	3	0
MUSI 621	3	1	0
MUSI 622	0	0	0
MUSI 623	0	2	0
MUSI 624	0	0	0
MUSI 625	3	0	0
MUSI 626	3	0	0
MUSI 627	0	1	0
MUSI 631	7	7	0
MUSI 635	7	7	0
MUSI 636	7	7	0
MUSI 637	3	2	0
MUSI 640	7	7	0
MUSI 641	7	7	0
MUSI 642	7	7	0
MUSI 645	2	1	0
MUSI 646	1	2	0
MUSI 647	6	6	0
MUSI 649	7	7	0
MUSI 651	7	7	0
MUSI 653	7	7	0
MUSI 655	7	7	0
MUSI 656	7	7	0
MUSI 661	7	7	0
MUSI 663	7	7	0
MUSI 665	7	7	0
MUSI 667	7	7	0
MUSI 671	7	7	0
MUSI 673	7	7	0
MUSI 677	0	1	0
MUSI 681	7	7	0
MUSI 682	3	3	0
MUSI 683	7	6	0
MUSI 687	7	7	0
MUSI 689	7	7	0
MUSI 690	7	6	0
MUSI 691	7	7	0
MUSI 693	7	7	0
MUSI 695	7	7	0
MUSI 697	7	7	0
MUSI 698	5	6	0
MUSI 700	7	7	0
MUSI 705	5	6	0
MUSI 707	0	0	0
MUSI 711	0	7	0
MUSI 712	1	0	0
MUSI 713	0	0	0
MUSI 721	0	3	0
MUSI 722	3	0	0
MUSI 723	1	1	0
MUSI 725	0	1	0
MUSI 733	6	0	0
MUSI 735	2	1	0
MUSI 736	7	6	0
MUSI 738	6	7	0
MUSI 739	7	1	0
MUSI 741	7	7	0
MUSI 742	5	6	0
MUSI 747	0	0	0
MUSI 749	0	0	0
MUSI 750	7	7	0
MUSI 751	7	7	0
MUSI 760	6	5	0
MUSI 761	6	5	0
MUSI 762	5	0	0
MUSI 763	6	5	0
MUSI 764	6	5	0
MUSI 800	6	7	0
