Class name	Fall	Spring	Summer
NEUR 007	0	0	0
NEUR 111	0	0	0
NEUR 301	0	0	0
NEUR 302	0	0	0
NEUR 304	0	0	0
NEUR 305	0	0	0
NEUR 306	0	5	0
NEUR 308	0	0	0
NEUR 310	3	2	2
NEUR 318	0	0	0
NEUR 319	0	0	0
NEUR 321	5	0	0
NEUR 322	5	0	0
NEUR 323	0	5	0
NEUR 335	0	0	0
NEUR 350	0	0	0
NEUR 362	0	5	0
NEUR 364	0	2	0
NEUR 376	0	5	0
NEUR 377	0	0	0
NEUR 379	0	0	0
NEUR 380	0	6	0
NEUR 381	0	4	0
NEUR 382	0	2	0
NEUR 383	2	0	0
NEUR 385	7	0	0
NEUR 3XX	0	0	0
NEUR 401	3	0	0
NEUR 402	0	2	0
NEUR 411	1	0	0
NEUR 412	0	2	0
NEUR 415	6	0	0
NEUR 416	0	7	0
NEUR 430	4	1	0
NEUR 450	1	0	0
NEUR 481	2	0	0
NEUR 501	3	1	0
NEUR 502	2	0	0
NEUR 504	0	0	0
NEUR 505	0	0	0
NEUR 506	0	5	0
NEUR 508	1	2	0
NEUR 510	0	0	0
NEUR 515	0	0	0
NEUR 516	0	0	0
NEUR 517	0	0	0
NEUR 518	0	0	0
NEUR 519	0	0	0
NEUR 520	0	0	0
NEUR 521	7	0	0
NEUR 522	7	0	0
NEUR 523	0	7	0
NEUR 525	1	0	0
NEUR 530	0	0	0
NEUR 535	0	0	0
NEUR 540	0	0	0
NEUR 550	0	0	0
NEUR 564	0	2	0
NEUR 576	0	7	0
NEUR 577	0	0	0
NEUR 578	0	3	0
NEUR 579	0	0	0
NEUR 580	0	0	0
NEUR 582	0	1	0
NEUR 583	0	0	0
NEUR 615	4	0	0
