Class name	Fall	Spring	Summer
PHIL 007	0	0	0
PHIL 100	4	5	4
PHIL 101	7	6	5
PHIL 103	5	4	0
PHIL 104	2	1	0
PHIL 105	1	2	1
PHIL 106	4	4	1
PHIL 109	0	2	0
PHIL 111	3	2	0
PHIL 116	1	1	0
PHIL 201	7	0	0
PHIL 202	0	7	0
PHIL 301	1	5	0
PHIL 302	3	1	0
PHIL 303	4	3	0
PHIL 304	2	3	0
PHIL 305	7	0	0
PHIL 306	6	5	0
PHIL 307	0	6	0
PHIL 308	1	5	0
PHIL 309	0	0	0
PHIL 310	2	0	0
PHIL 311	0	5	0
PHIL 312	3	6	0
PHIL 313	1	1	0
PHIL 314	0	2	0
PHIL 315	0	1	0
PHIL 316	4	1	0
PHIL 317	0	0	0
PHIL 319	0	1	0
PHIL 321	0	0	0
PHIL 326	3	1	0
PHIL 327	4	0	0
PHIL 331	0	1	0
PHIL 334	2	2	0
PHIL 335	0	0	0
PHIL 336	1	4	0
PHIL 337	0	0	0
PHIL 338	0	1	0
PHIL 339	0	2	0
PHIL 341	0	0	0
PHIL 352	4	1	0
PHIL 353	0	0	0
PHIL 355	0	0	0
PHIL 357	0	2	0
PHIL 358	0	0	0
PHIL 359	2	0	0
PHIL 390	2	1	0
PHIL 401	7	0	0
PHIL 402	0	7	0
PHIL 407	0	4	0
PHIL 411	7	0	0
PHIL 412	0	6	0
PHIL 501	2	6	0
PHIL 502	1	2	0
PHIL 503	3	1	0
PHIL 504	2	2	0
PHIL 505	7	0	0
PHIL 506	2	3	0
PHIL 507	1	3	0
PHIL 508	4	1	0
PHIL 509	0	0	0
PHIL 510	1	0	0
PHIL 512	2	7	0
PHIL 513	0	2	0
PHIL 516	0	0	0
PHIL 522	0	0	0
PHIL 523	2	1	0
PHIL 524	4	0	0
PHIL 526	1	1	0
PHIL 530	0	1	0
PHIL 531	2	1	0
PHIL 534	0	0	0
PHIL 535	1	4	0
PHIL 536	1	1	0
PHIL 537	0	0	0
PHIL 540	0	0	0
PHIL 542	2	0	0
PHIL 553	0	1	0
PHIL 590	2	1	0
PHIL 598	7	0	0
PHIL 599	0	7	6
PHIL 651	0	0	0
PHIL 652	0	7	0
PHIL 701	7	0	0
PHIL 702	0	7	0
PHIL 800	7	7	7
