Class name	Fall	Spring	Summer
PHYS 007	3	2	3
PHYS 100	0	1	0
PHYS 101	7	0	3
PHYS 102	0	7	3
PHYS 103	4	0	3
PHYS 104	0	3	3
PHYS 111	7	0	0
PHYS 112	0	7	0
PHYS 125	7	0	5
PHYS 126	0	7	5
PHYS 141	0	0	0
PHYS 142	0	0	0
PHYS 143	0	3	0
PHYS 144	4	0	0
PHYS 201	7	0	0
PHYS 202	0	7	0
PHYS 231	5	1	0
PHYS 301	7	0	0
PHYS 302	0	7	0
PHYS 311	7	0	0
PHYS 312	0	7	0
PHYS 331	5	6	0
PHYS 332	6	7	0
PHYS 355	0	7	0
PHYS 411	7	0	0
PHYS 412	0	7	0
PHYS 416	0	7	0
PHYS 425	7	0	0
PHYS 461	7	0	2
PHYS 462	0	7	0
PHYS 465	0	0	0
PHYS 480	7	0	0
PHYS 491	7	0	0
PHYS 492	0	7	0
PHYS 493	7	0	0
PHYS 494	0	7	0
PHYS 501	1	2	0
PHYS 510	2	0	0
PHYS 515	7	0	0
PHYS 516	3	2	0
PHYS 517	0	7	0
PHYS 519	2	1	0
PHYS 521	7	0	0
PHYS 522	0	7	0
PHYS 526	0	7	0
PHYS 532	0	7	0
PHYS 533	7	0	0
PHYS 534	0	6	0
PHYS 535	0	6	0
PHYS 537	7	0	0
PHYS 538	0	6	0
PHYS 539	2	1	0
PHYS 541	1	3	0
PHYS 542	7	0	0
PHYS 543	0	4	0
PHYS 551	5	1	0
PHYS 552	1	0	0
PHYS 561	0	2	0
PHYS 563	7	0	0
PHYS 564	0	4	0
PHYS 566	5	0	0
PHYS 567	4	0	0
PHYS 568	0	3	0
PHYS 569	0	3	0
PHYS 571	1	2	0
PHYS 572	1	2	0
PHYS 580	4	0	0
PHYS 600	3	5	0
PHYS 601	3	0	0
PHYS 605	7	0	0
PHYS 610	0	7	0
PHYS 622	5	1	0
PHYS 643	0	0	0
PHYS 663	0	0	0
PHYS 664	0	7	0
PHYS 665	0	0	0
PHYS 700	4	4	2
PHYS 710	6	0	0
PHYS 800	7	7	7
