Class name	Fall	Spring	Summer
POLI 007	0	0	0
POLI 110	0	0	0
POLI 112	0	0	0
POLI 209	6	1	0
POLI 210	7	7	0
POLI 211	7	7	0
POLI 212	7	7	0
POLI 238	3	1	0
POLI 250	2	1	0
POLI 260	2	0	0
POLI 301	0	1	0
POLI 305	7	0	0
POLI 306	0	7	0
POLI 307	7	6	0
POLI 308	6	6	0
POLI 310	1	0	0
POLI 315	6	1	0
POLI 317	0	3	0
POLI 318	1	0	0
POLI 320	0	3	0
POLI 321	2	6	0
POLI 322	1	0	0
POLI 324	0	1	0
POLI 325	2	0	0
POLI 328	0	0	0
POLI 329	0	0	0
POLI 330	0	2	0
POLI 331	0	0	0
POLI 332	3	1	0
POLI 333	2	2	0
POLI 334	0	5	0
POLI 335	3	0	0
POLI 336	2	0	0
POLI 337	3	2	0
POLI 338	1	3	0
POLI 342	3	1	0
POLI 343	0	1	0
POLI 345	0	2	0
POLI 347	0	2	0
POLI 348	0	3	0
POLI 349	0	5	0
POLI 350	2	0	0
POLI 352	0	2	0
POLI 353	1	0	0
POLI 354	2	3	0
POLI 355	1	1	0
POLI 356	1	0	0
POLI 357	1	0	0
POLI 360	3	1	0
POLI 362	0	3	0
POLI 365	5	0	0
POLI 371	2	3	0
POLI 372	3	1	0
POLI 373	3	1	0
POLI 374	3	1	0
POLI 375	2	1	0
POLI 378	1	2	0
POLI 380	0	0	0
POLI 395	6	6	1
POLI 401	0	0	0
POLI 405	7	6	0
POLI 406	7	7	0
POLI 416	0	1	0
POLI 418	0	0	0
POLI 419	0	1	0
POLI 420	4	0	0
POLI 421	3	0	0
POLI 429	0	5	0
POLI 430	4	0	0
POLI 431	0	0	0
POLI 432	0	0	0
POLI 433	2	2	0
POLI 434	0	1	0
POLI 435	2	1	0
POLI 436	0	2	0
POLI 437	1	0	0
POLI 438	0	0	0
POLI 440	1	0	0
POLI 441	1	1	0
POLI 445	0	2	0
POLI 450	1	0	0
POLI 454	0	0	0
POLI 457	1	4	0
POLI 459	1	0	0
POLI 462	0	7	0
POLI 466	0	1	0
POLI 468	0	0	0
POLI 469	1	2	0
POLI 470	0	0	0
POLI 472	0	2	0
POLI 474	0	3	0
POLI 475	0	0	0
POLI 478	6	0	0
POLI 480	0	4	0
POLI 481	0	1	0
POLI 489	0	2	0
POLI 490	2	1	0
POLI 500	7	0	0
POLI 501	0	7	0
POLI 502	0	0	0
POLI 503	0	0	0
POLI 504	7	0	0
POLI 505	0	7	0
POLI 506	3	2	0
POLI 507	0	3	0
POLI 511	1	1	0
POLI 512	0	1	0
POLI 520	2	3	0
POLI 527	1	0	0
POLI 530	2	2	0
POLI 531	0	0	0
POLI 532	1	0	0
POLI 533	0	1	0
POLI 534	2	0	0
POLI 535	1	0	0
POLI 536	1	1	0
POLI 537	1	0	0
POLI 538	0	0	0
POLI 539	0	1	0
POLI 540	2	2	0
POLI 541	2	0	0
POLI 542	3	0	0
POLI 544	0	0	0
POLI 562	0	0	0
POLI 563	2	0	0
POLI 564	0	0	0
POLI 565	0	0	0
POLI 566	0	0	0
POLI 567	0	2	0
POLI 568	0	3	0
POLI 569	3	0	0
POLI 570	1	1	0
POLI 571	1	1	0
POLI 572	0	2	0
POLI 574	3	0	0
POLI 575	0	3	0
POLI 576	0	0	0
POLI 577	1	1	0
POLI 580	0	1	0
POLI 581	0	1	0
POLI 591	7	0	0
POLI 592	0	6	0
POLI 593	7	0	0
POLI 594	0	6	0
POLI 595	7	0	2
POLI 596	0	6	2
POLI 597	7	0	0
POLI 598	0	7	0
POLI 599	7	7	0
POLI 600	7	7	7
POLI 800	7	7	7
