Class name	Fall	Spring	Summer
PSYC 007	0	0	0
PSYC 101	7	7	6
PSYC 102	0	0	0
PSYC 202	7	7	5
PSYC 203	7	7	6
PSYC 231	2	6	4
PSYC 260	0	1	0
PSYC 308	6	5	2
PSYC 309	6	0	0
PSYC 315	0	1	0
PSYC 321	7	6	1
PSYC 325	5	3	0
PSYC 329	0	4	0
PSYC 330	5	1	0
PSYC 331	2	1	0
PSYC 332	1	7	0
PSYC 333	2	0	0
PSYC 339	6	7	0
PSYC 340	7	7	0
PSYC 341	0	0	0
PSYC 342	1	2	0
PSYC 345	6	0	0
PSYC 346	2	1	0
PSYC 351	4	5	0
PSYC 353	0	7	0
PSYC 354	0	1	0
PSYC 362	0	7	0
PSYC 364	0	2	0
PSYC 370	7	0	0
PSYC 375	2	3	0
PSYC 380	0	6	0
PSYC 409	3	1	0
PSYC 411	0	0	0
PSYC 420	4	0	0
PSYC 430	0	2	0
PSYC 431	0	2	0
PSYC 432	0	0	0
PSYC 435	0	1	0
PSYC 436	0	0	0
PSYC 438	1	0	0
PSYC 439	3	4	0
PSYC 440	0	1	0
PSYC 441	3	0	0
PSYC 445	0	0	0
PSYC 452	2	0	0
PSYC 455	7	1	0
PSYC 461	3	0	0
PSYC 462	1	0	0
PSYC 463	0	1	0
PSYC 464	0	0	0
PSYC 465	0	0	0
PSYC 470	0	3	0
PSYC 475	0	0	0
PSYC 480	6	7	1
PSYC 485	7	7	7
PSYC 488	7	7	0
PSYC 495	0	0	2
PSYC 499	7	7	0
PSYC 502	7	0	0
PSYC 503	0	7	0
PSYC 504	1	2	0
PSYC 507	0	0	0
PSYC 511	0	0	0
PSYC 520	0	3	0
PSYC 521	0	1	0
PSYC 522	0	0	0
PSYC 524	1	2	0
PSYC 525	4	0	0
PSYC 527	3	0	0
PSYC 529	7	7	0
PSYC 530	7	0	0
PSYC 531	7	7	0
PSYC 532	2	1	0
PSYC 533	7	7	0
PSYC 540	0	4	0
PSYC 541	3	0	0
PSYC 543	0	2	0
PSYC 546	1	0	0
PSYC 547	0	1	0
PSYC 550	4	0	0
PSYC 551	2	0	0
PSYC 552	2	0	0
PSYC 560	0	0	0
PSYC 561	7	7	0
PSYC 563	7	6	6
PSYC 564	0	2	0
PSYC 565	0	0	0
PSYC 571	7	7	0
PSYC 572	7	7	0
PSYC 573	7	7	7
PSYC 574	1	4	0
PSYC 575	2	1	0
PSYC 576	2	1	0
PSYC 577	4	0	0
PSYC 578	1	0	0
PSYC 580	0	0	0
PSYC 581	1	1	0
PSYC 582	1	0	0
PSYC 583	0	0	1
PSYC 584	0	0	0
PSYC 585	0	2	0
PSYC 586	0	1	0
PSYC 590	1	0	0
PSYC 601	0	1	0
PSYC 602	1	2	0
PSYC 609	3	1	0
PSYC 620	0	1	0
PSYC 621	0	1	0
PSYC 622	0	0	0
PSYC 624	4	3	0
PSYC 625	1	1	0
PSYC 626	0	0	0
PSYC 627	0	0	0
PSYC 628	2	1	0
PSYC 629	5	4	0
PSYC 630	4	4	0
PSYC 631	4	1	0
PSYC 632	0	0	0
PSYC 634	3	1	0
PSYC 635	0	0	0
PSYC 636	0	6	0
PSYC 637	1	2	0
PSYC 638	0	0	0
PSYC 639	7	6	6
PSYC 640	2	6	0
PSYC 641	0	0	0
PSYC 649	7	6	6
PSYC 651	0	2	0
PSYC 660	3	0	0
PSYC 662	1	0	0
PSYC 663	0	1	0
PSYC 664	0	0	0
PSYC 665	1	1	0
PSYC 671	0	0	0
PSYC 681	0	1	0
PSYC 700	7	7	7
PSYC 800	7	7	7
