Class name	Fall	Spring	Summer
RELI 007	0	0	0
RELI 100	1	3	0
RELI 101	6	1	1
RELI 102	0	0	0
RELI 104	0	1	0
RELI 105	0	2	0
RELI 108	4	0	0
RELI 109	0	0	0
RELI 111	2	0	2
RELI 112	0	0	0
RELI 113	1	1	0
RELI 116	0	1	0
RELI 122	0	1	0
RELI 124	0	2	0
RELI 125	1	0	0
RELI 126	0	1	0
RELI 127	1	0	0
RELI 128	0	0	0
RELI 157	3	0	0
RELI 158	1	1	0
RELI 171	1	1	0
RELI 203	1	1	0
RELI 213	1	0	0
RELI 215	2	1	0
RELI 216	1	0	0
RELI 217	0	0	0
RELI 219	0	0	0
RELI 221	2	0	0
RELI 223	3	0	0
RELI 230	1	1	0
RELI 231	2	0	0
RELI 232	1	1	0
RELI 233	2	1	0
RELI 234	0	1	0
RELI 243	1	1	0
RELI 270	1	2	0
RELI 271	2	1	0
RELI 282	1	2	0
RELI 294	1	6	0
RELI 300	0	2	0
RELI 301	5	0	0
RELI 302	0	0	0
RELI 304	1	2	0
RELI 305	1	1	0
RELI 307	1	0	0
RELI 308	0	2	0
RELI 309	0	0	0
RELI 311	3	0	0
RELI 312	3	0	0
RELI 313	0	0	0
RELI 314	0	0	0
RELI 315	4	2	0
RELI 317	0	0	0
RELI 318	1	0	0
RELI 320	0	3	0
RELI 322	1	4	0
RELI 326	0	1	0
RELI 328	0	0	0
RELI 332	5	5	0
RELI 333	1	0	0
RELI 334	3	4	0
RELI 335	0	1	0
RELI 336	2	2	0
RELI 337	4	1	0
RELI 338	1	0	0
RELI 339	0	1	0
RELI 340	0	1	0
RELI 341	1	0	0
RELI 342	2	0	0
RELI 343	3	0	0
RELI 344	3	3	0
RELI 348	3	1	0
RELI 350	1	2	0
RELI 356	2	3	0
RELI 357	1	1	0
RELI 359	0	2	0
RELI 361	2	0	0
RELI 362	1	0	0
RELI 363	1	1	0
RELI 365	3	0	0
RELI 368	1	0	0
RELI 369	1	0	0
RELI 371	1	0	0
RELI 375	3	0	0
RELI 378	3	1	0
RELI 381	1	1	0
RELI 382	1	1	0
RELI 383	1	0	0
RELI 384	0	4	0
RELI 385	1	0	0
RELI 387	1	2	0
RELI 388	0	1	0
RELI 390	1	0	0
RELI 391	0	2	0
RELI 392	0	2	0
RELI 393	1	1	0
RELI 395	4	0	0
RELI 396	0	0	0
RELI 399	6	5	0
RELI 400	7	7	0
RELI 401	7	0	0
RELI 402	0	7	1
RELI 406	0	1	0
RELI 407	0	0	0
RELI 415	0	0	0
RELI 416	1	0	0
RELI 417	0	0	0
RELI 421	2	0	0
RELI 423	0	1	0
RELI 424	1	1	0
RELI 426	1	1	0
RELI 427	4	0	0
RELI 428	3	2	0
RELI 430	3	1	0
RELI 431	0	0	0
RELI 433	1	0	0
RELI 440	0	1	0
RELI 441	0	2	0
RELI 442	5	5	0
RELI 443	0	1	0
RELI 444	0	1	0
RELI 449	0	1	0
RELI 456	0	0	0
RELI 458	0	1	0
RELI 462	0	1	0
RELI 470	3	2	0
RELI 472	0	0	0
RELI 476	0	1	0
RELI 481	1	3	0
RELI 488	1	1	0
RELI 490	0	0	0
RELI 499	0	3	0
RELI 500	0	1	0
RELI 502	2	0	0
RELI 503	4	0	0
RELI 504	0	1	0
RELI 505	0	0	0
RELI 506	0	1	0
RELI 507	1	0	0
RELI 508	0	1	0
RELI 509	1	1	0
RELI 510	0	1	0
RELI 511	0	1	0
RELI 512	1	0	0
RELI 513	0	0	0
RELI 514	1	6	0
RELI 515	5	0	0
RELI 516	0	0	0
RELI 517	0	0	0
RELI 518	1	0	0
RELI 519	0	0	0
RELI 520	0	0	0
RELI 521	0	1	0
RELI 522	0	1	0
RELI 523	7	0	0
RELI 524	0	7	0
RELI 525	0	2	0
RELI 526	0	0	0
RELI 527	4	0	0
RELI 528	0	0	0
RELI 530	7	7	0
RELI 531	0	0	0
RELI 532	5	6	0
RELI 534	0	1	0
RELI 536	3	1	0
RELI 537	0	1	0
RELI 539	0	1	0
RELI 540	1	0	0
RELI 541	0	0	0
RELI 542	1	0	0
RELI 543	0	1	0
RELI 546	3	0	0
RELI 547	1	1	0
RELI 548	1	0	0
RELI 549	0	1	0
RELI 551	0	0	0
RELI 553	1	0	0
RELI 555	1	0	0
RELI 558	0	1	0
RELI 559	3	2	0
RELI 560	0	0	0
RELI 561	1	0	0
RELI 563	1	0	0
RELI 564	0	1	0
RELI 565	1	1	0
RELI 566	1	1	0
RELI 567	0	1	0
RELI 568	1	0	0
RELI 569	2	0	0
RELI 570	3	2	0
RELI 572	1	3	0
RELI 573	1	0	0
RELI 577	0	0	0
RELI 578	1	0	0
RELI 580	0	2	0
RELI 581	1	3	0
RELI 582	0	0	0
RELI 584	3	1	0
RELI 585	1	0	0
RELI 587	1	2	0
RELI 588	1	2	0
RELI 589	1	1	0
RELI 590	0	0	0
RELI 591	1	0	0
RELI 592	0	2	0
RELI 593	0	0	0
RELI 595	0	0	0
RELI 596	0	1	0
RELI 597	6	5	0
RELI 600	5	4	0
RELI 606	1	0	0
RELI 607	0	0	0
RELI 608	0	3	0
RELI 611	1	1	0
RELI 612	0	1	0
RELI 614	0	1	0
RELI 615	0	0	0
RELI 616	1	0	0
RELI 644	0	1	0
RELI 700	1	1	7
RELI 800	7	7	6
RELI 801	1	0	0
