Class name	Fall	Spring	Summer
SOCI 007	0	0	0
SOCI 101	7	7	2
SOCI 201	0	0	0
SOCI 231	0	2	0
SOCI 299	0	1	0
SOCI 301	2	2	0
SOCI 304	7	0	0
SOCI 306	1	5	0
SOCI 308	5	1	0
SOCI 309	1	2	0
SOCI 310	1	0	1
SOCI 313	7	0	0
SOCI 314	1	1	1
SOCI 316	0	0	0
SOCI 319	2	2	0
SOCI 321	2	0	2
SOCI 325	3	2	0
SOCI 327	7	0	0
SOCI 328	0	7	0
SOCI 329	2	0	0
SOCI 333	1	2	0
SOCI 334	0	2	1
SOCI 340	0	2	0
SOCI 341	1	5	0
SOCI 342	1	0	0
SOCI 343	0	1	0
SOCI 344	1	0	0
SOCI 345	3	2	2
SOCI 348	0	1	0
SOCI 349	1	0	0
SOCI 350	1	0	0
SOCI 358	4	0	0
SOCI 363	0	3	0
SOCI 364	3	3	0
SOCI 365	2	2	0
SOCI 366	1	0	0
SOCI 367	1	1	0
SOCI 368	1	1	0
SOCI 371	4	0	0
SOCI 374	0	1	0
SOCI 376	0	3	0
SOCI 377	1	0	0
SOCI 380	5	3	0
SOCI 381	7	0	0
SOCI 382	0	7	0
SOCI 394	0	3	0
SOCI 396	0	1	0
SOCI 401	0	2	0
SOCI 402	0	1	0
SOCI 403	7	0	1
SOCI 404	1	7	0
SOCI 405	5	0	0
SOCI 406	0	7	0
SOCI 407	1	0	0
SOCI 408	0	5	0
SOCI 412	1	0	0
SOCI 415	0	0	0
SOCI 422	2	0	0
SOCI 423	2	0	0
SOCI 424	2	0	0
SOCI 425	1	1	0
SOCI 426	1	0	0
SOCI 436	0	6	0
SOCI 437	2	1	0
SOCI 438	1	0	0
SOCI 451	0	1	0
SOCI 453	1	0	0
SOCI 459	0	1	0
SOCI 465	1	0	0
SOCI 469	7	0	0
SOCI 470	0	7	0
SOCI 483	0	0	0
SOCI 485	0	1	0
SOCI 492	0	7	0
SOCI 493	7	0	0
SOCI 500	0	0	7
SOCI 501	0	2	0
SOCI 502	0	2	0
SOCI 503	0	3	0
SOCI 505	1	0	0
SOCI 506	0	6	0
SOCI 510	0	0	0
SOCI 511	0	3	0
SOCI 512	0	0	0
SOCI 513	7	0	0
SOCI 522	1	0	0
SOCI 523	2	0	0
SOCI 524	4	0	0
SOCI 525	1	1	0
SOCI 526	3	0	0
SOCI 528	0	1	0
SOCI 536	0	6	0
SOCI 537	2	3	0
SOCI 538	1	0	0
SOCI 541	2	4	0
SOCI 543	0	1	0
SOCI 551	0	1	0
SOCI 553	1	0	0
SOCI 559	0	1	0
SOCI 580	4	0	0
SOCI 581	4	0	0
SOCI 582	0	6	0
SOCI 583	6	0	0
SOCI 584	1	0	0
SOCI 585	0	1	0
SOCI 586	1	1	0
SOCI 596	2	4	0
SOCI 600	2	2	0
SOCI 601	0	0	0
SOCI 602	0	0	0
SOCI 603	0	1	0
SOCI 604	1	0	0
SOCI 605	5	5	0
SOCI 606	5	5	0
SOCI 607	1	0	0
SOCI 608	0	1	0
SOCI 609	5	5	0
SOCI 610	6	5	0
SOCI 611	1	0	0
SOCI 620	1	0	0
SOCI 665	1	0	0
SOCI 700	5	5	0
