Class name	Fall	Spring	Summer
SPPO 158	3	0	0
SPPO 330	3	0	0
SPPO 331	0	0	0
SPPO 332	0	2	0
SPPO 340	2	0	0
SPPO 341	1	0	0
SPPO 344	0	1	0
SPPO 345	0	1	0
SPPO 347	1	1	0
SPPO 348	0	0	0
SPPO 350	0	0	0
SPPO 351	1	0	0
SPPO 353	0	0	0
SPPO 354	0	2	0
SPPO 360	0	1	0
SPPO 363	0	1	0
SPPO 364	0	1	0
SPPO 368	3	0	0
SPPO 373	0	1	0
SPPO 375	1	2	0
SPPO 377	0	0	0
SPPO 380	1	0	0
SPPO 381	0	1	0
SPPO 382	1	0	0
SPPO 384	0	0	0
SPPO 385	1	0	0
SPPO 387	0	0	0
SPPO 392	0	0	1
SPPO 403	0	0	0
SPPO 410	2	0	0
SPPO 411	0	1	0
SPPO 412	1	0	0
SPPO 415	0	1	0
SPPO 420	0	0	0
SPPO 422	2	0	0
SPPO 430	0	1	0
SPPO 450	0	0	0
SPPO 451	0	0	0
SPPO 456	2	0	0
SPPO 462	0	1	0
SPPO 466	1	0	0
SPPO 467	0	0	0
SPPO 477	2	0	0
SPPO 490	3	2	0
SPPO 492	0	0	1
SPPO 495	3	0	0
SPPO 677	1	0	0
