Class name	Fall	Spring	Summer
STAT 007	1	0	1
STAT 280	7	7	2
STAT 281	0	0	0
STAT 305	7	7	0
STAT 310	7	7	7
STAT 312	5	0	0
STAT 313	0	7	0
STAT 315	1	0	0
STAT 376	4	2	0
STAT 385	1	7	0
STAT 405	7	6	0
STAT 406	0	0	0
STAT 410	7	1	0
STAT 411	0	7	0
STAT 413	1	0	0
STAT 415	1	1	0
STAT 418	4	0	0
STAT 419	0	3	0
STAT 421	3	3	0
STAT 423	0	5	0
STAT 425	2	0	0
STAT 435	1	0	0
STAT 440	7	7	0
STAT 449	3	4	0
STAT 450	6	7	0
STAT 453	0	7	0
STAT 470	0	0	0
STAT 482	7	0	0
STAT 484	7	0	0
STAT 485	0	6	0
STAT 486	0	7	0
STAT 490	7	0	3
STAT 491	0	7	0
STAT 492	1	0	1
STAT 496	3	0	0
STAT 498	0	2	0
STAT 499	5	5	0
STAT 502	0	7	0
STAT 503	0	0	0
STAT 509	7	0	0
STAT 510	0	7	0
STAT 514	0	2	0
STAT 515	1	1	0
STAT 518	4	0	0
STAT 519	0	3	0
STAT 522	2	1	0
STAT 525	2	0	0
STAT 532	3	4	0
STAT 533	4	2	0
STAT 535	1	0	0
STAT 540	1	1	3
STAT 541	6	1	0
STAT 542	0	2	0
STAT 545	4	2	0
STAT 547	0	3	0
STAT 549	1	1	0
STAT 550	1	2	0
STAT 551	2	1	0
STAT 552	0	6	0
STAT 553	0	7	0
STAT 571	1	0	0
STAT 572	0	0	0
STAT 581	7	0	0
STAT 582	0	2	0
STAT 583	5	0	0
STAT 590	7	0	7
STAT 591	0	7	0
STAT 600	0	7	0
STAT 601	7	7	0
STAT 602	3	0	0
STAT 604	5	0	0
STAT 605	4	3	0
STAT 606	0	7	0
STAT 610	5	3	0
STAT 611	2	4	0
STAT 613	1	0	0
STAT 615	7	0	0
STAT 616	0	3	0
STAT 620	0	1	0
STAT 621	3	3	0
STAT 623	0	5	0
STAT 625	0	1	0
STAT 630	0	3	0
STAT 648	2	3	0
STAT 649	3	4	0
STAT 650	2	1	0
STAT 682	7	0	0
STAT 684	7	0	0
STAT 685	0	7	0
STAT 686	0	7	0
STAT 696	3	0	0
STAT 698	0	2	0
STAT 699	5	5	0
STAT 800	7	7	7
