Class name	Fall	Spring	Summer
SWGS 101	7	0	0
SWGS 111	3	2	0
SWGS 130	1	0	0
SWGS 201	0	7	0
SWGS 205	2	3	0
SWGS 225	0	0	0
SWGS 234	2	0	0
SWGS 235	0	2	0
SWGS 250	2	1	0
SWGS 273	5	0	0
SWGS 301	1	2	0
SWGS 303	2	2	0
SWGS 305	2	1	0
SWGS 306	0	1	0
SWGS 308	1	0	0
SWGS 314	0	0	0
SWGS 315	4	2	0
SWGS 317	1	0	0
SWGS 318	0	1	0
SWGS 319	0	1	0
SWGS 320	0	1	0
SWGS 321	0	0	0
SWGS 324	1	5	0
SWGS 325	0	2	1
SWGS 327	6	4	0
SWGS 329	0	3	0
SWGS 331	2	1	0
SWGS 332	0	0	0
SWGS 333	1	0	0
SWGS 335	0	0	1
SWGS 336	0	1	0
SWGS 338	0	3	0
SWGS 343	1	3	0
SWGS 345	0	3	0
SWGS 346	0	1	0
SWGS 348	1	0	0
SWGS 350	0	0	0
SWGS 353	1	1	1
SWGS 354	1	4	0
SWGS 358	0	0	0
SWGS 361	1	2	0
SWGS 364	3	2	0
SWGS 367	0	0	0
SWGS 370	0	0	0
SWGS 372	1	3	0
SWGS 373	0	1	0
SWGS 374	0	1	0
SWGS 375	0	1	0
SWGS 376	0	2	0
SWGS 377	1	0	0
SWGS 378	0	0	0
SWGS 380	2	1	0
SWGS 384	1	2	0
SWGS 385	1	1	0
SWGS 389	1	2	0
SWGS 390	1	2	0
SWGS 393	0	1	0
SWGS 394	0	3	0
SWGS 395	0	0	0
SWGS 398	3	5	0
SWGS 399	3	1	0
SWGS 400	0	0	0
SWGS 407	0	0	0
SWGS 412	0	0	0
SWGS 415	4	3	0
SWGS 424	0	2	0
SWGS 434	1	1	0
SWGS 440	1	0	0
SWGS 449	0	1	0
SWGS 453	0	0	0
SWGS 462	0	0	0
SWGS 465	1	0	0
SWGS 466	0	3	0
SWGS 480	0	0	0
SWGS 485	0	0	0
SWGS 492	0	0	0
SWGS 494	6	0	0
SWGS 495	7	7	0
SWGS 496	0	7	0
SWGS 497	0	7	0
SWGS 498	7	0	0
SWGS 499	0	7	0
SWGS 501	0	7	0
SWGS 502	3	3	0
SWGS 503	7	4	0
SWGS 517	0	0	0
SWGS 520	0	0	0
SWGS 522	0	0	0
SWGS 525	0	0	0
SWGS 534	1	1	0
SWGS 542	0	0	0
SWGS 546	0	1	0
SWGS 554	0	1	0
SWGS 556	0	1	0
SWGS 577	0	0	0
SWGS 580	0	0	0
SWGS 581	1	0	0
SWGS 583	0	1	0
SWGS 584	0	0	0
SWGS 585	0	0	0
