Class name	Fall	Spring	Summer
THEA 100	4	1	0
THEA 101	7	0	0
THEA 102	7	7	0
THEA 103	1	3	0
THEA 202	0	1	0
THEA 207	1	3	0
THEA 270	2	0	0
THEA 300	5	1	0
THEA 301	7	0	0
THEA 302	0	3	0
THEA 303	2	0	1
THEA 304	1	2	0
THEA 305	0	3	0
THEA 306	1	1	0
THEA 307	0	1	0
THEA 308	4	0	0
THEA 309	3	2	0
THEA 310	0	2	0
THEA 311	0	3	0
THEA 312	0	2	0
THEA 315	5	0	0
THEA 320	0	1	0
THEA 322	0	1	0
THEA 323	0	2	0
THEA 324	0	2	0
THEA 325	0	1	0
THEA 330	0	1	0
THEA 331	7	7	0
THEA 332	0	1	0
THEA 396	2	1	0
THEA 432	2	1	0
THEA 435	0	3	0
