Class name	Fall	Spring	Summer
UNIV 010	4	3	0
UNIV 011	4	3	0
UNIV 012	4	3	0
UNIV 013	4	3	0
UNIV 014	4	3	0
UNIV 015	4	3	0
UNIV 050	3	2	0
UNIV 051	3	2	0
UNIV 052	3	2	0
UNIV 053	3	2	0
UNIV 054	3	2	0
UNIV 101	1	2	0
UNIV 105	0	0	2
UNIV 110	7	6	2
UNIV 181	0	1	0
UNIV 194	2	0	1
UNIV 201	7	7	0
UNIV 212	0	3	0
UNIV 215	5	0	0
UNIV 216	0	4	0
UNIV 220	7	4	0
UNIV 250	0	7	0
UNIV 295	4	3	0
UNIV 299	3	3	0
UNIV 301	7	7	0
UNIV 304	0	2	0
UNIV 305	0	5	0
UNIV 306	0	3	0
UNIV 307	3	0	0
UNIV 310	0	2	0
UNIV 311	0	2	0
UNIV 313	1	0	0
UNIV 320	7	7	0
UNIV 321	2	2	0
UNIV 395	0	2	0
UNIV 399	0	0	0
UNIV 400	4	7	0
UNIV 401	0	6	0
UNIV 402	5	0	0
UNIV 403	0	4	0
UNIV 420	0	3	0
UNIV 500	5	1	0
UNIV 501	0	4	0
UNIV 502	3	3	1
UNIV 555	3	2	0
UNIV 594	7	0	0
UNIV 599	4	3	2
UNIV 600	0	2	0
UNIV 601	6	5	3
UNIV 602	0	5	0
